budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+22,24576,exponential,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,4.74501297198973,179.77140863884554,1.0,2.186008603961202,1.0000000000007715e+22,1.0000000000007716,2.0959040373849356,2.2899366667699748,9.923152610575958e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,24576,exponential,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,8.069302593941727e+22,0.08069302593941728,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,24576,power,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,0.5541832257794296,10.000000000000002,0.9609450133552706,2.7945951631105075,1.0000000000006206e+20,1.0000000000006206,2.69767137068005,2.9020698591541483,2.3145812274048753e-12,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,24576,power,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,4.814166310886687,174.71799780647143,0.9999999999999998,2.1871767218211238,1.0000000000007634e+22,1.0000000000007634,2.0968396682701234,2.2911793887600553,4.8092661661139734e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,24576,power,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,8.120546639999998e+22,0.08120546639999998,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,24576,logarithmic,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,0.5662755903426642,13.525791037000475,0.9999999999999998,2.718351204554593,1.0000000000008436e+20,1.0000000000008435,2.625322011677369,2.8268051828793017,2.7215383524790682e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,24576,logarithmic,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,4.520122576640684,197.82270962554543,0.9999999999999998,2.18227106269332,1.0000000000007342e+22,1.0000000000007343,2.092027720305318,2.2859354897926645,1.0296599949543221e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,24576,logarithmic,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,7.912032936428437e+22,0.07912032936428437,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,30000,exponential,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,0.5692273568670866,10.000000000000002,0.9700201068112456,2.7865874690064865,1.0000000000005331e+20,1.0000000000005331,2.6894923647920397,2.8940602939811724,2.2533404312044088e-10,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,30000,exponential,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,4.517267002734136,172.29307922959376,1.0,2.192843064872647,1.0000000000002298e+22,1.0000000000002298,2.1018578397730345,2.2964707204278163,9.030373831677998e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
