N_B,D_B,Q_B,p_variant,weights,bridge_lambda,eta,loss,baseline_loss,factor,relative_A_effect,gradient_N,gradient_D,gradient_Q_B,status
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,pile_cc_only,1,-0.5,3.0588925781197682,3.0592931965585177,0.999869048694254,-0.0004141043887303938,-2.9487059732281735,-0.0010059687837940799,-0.5070663880682427,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,pile_cc_only,1,0,3.05802632981941,3.0592931965585177,0.9995858956112696,-0.0004141043887303938,-2.9458684037531344,-0.0010056839033260935,-0.5069227918530715,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,pile_cc_only,1,0.5,3.0552870121710263,3.0592931965585177,0.9986904869425401,-0.0004141043887303938,-2.9231986329511246,-0.0010047830321863608,-0.5064687007497509,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.00017177273191516148,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0,0,3.0592931965585177,3.0592931965585177,1.0,0.00017177273191516148,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0,0.5,3.0592931965585177,3.0592931965585177,1.0,0.00017177273191516148,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0.25,-0.5,3.0593347412303156,3.0592931965585177,1.000013579826819,0.00017177273191516148,-2.9469211037583625,-0.0010061141966437293,-0.5071396845458652,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0.25,0,3.059424572346043,3.0592931965585177,1.0000429431829787,0.00017177273191516148,-2.9472153635356015,-0.0010061437391320409,-0.5071545756668264,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0.25,0.5,3.059708643276497,3.0592931965585177,1.0001357982681904,0.00017177273191516148,-2.9495662493077197,-0.0010062371606828545,-0.5072016655259771,conditional_scenario_only
0.1,100,0.5,transfer_arxiv_to_freelaw_one_percent,equal_13,0.5,-0.5,3.0593762859021134,3.0592931965585177,1.000027159653638,0.00017177273191516148,-2.9467534013549805,-0.0010061278593147432,-0.5071465713214333,conditional_scenario_only
