quality_domain,metric_a,metric_b,mean_domain_spearman_sample,conflict_strength_sample,min_domain_spearman_sample,max_domain_spearman_sample,n_domains_sample,mean_domain_spearman_extended,conflict_strength_extended,min_domain_spearman_extended,max_domain_spearman_extended,n_domains_extended,negative_in_both
arxiv,modernbert_professionalism,qurater,0.1035073197064956,0.0,0.1035073197064956,0.1035073197064956,1,0.11584363474212116,0.0,0.11584363474212116,0.11584363474212116,1,False
arxiv,modernbert_reasoning,rps_doc_unigram_entropy,0.10437395081910926,0.0,0.10437395081910926,0.10437395081910926,1,0.07594192936562033,0.0,0.07594192936562033,0.07594192936562033,1,False
arxiv,rps_doc_frac_unique_words,rps_lines_ending_with_terminal_punctution_mark,0.10476772099126055,0.0,0.10476772099126055,0.10476772099126055,1,0.06630063876986093,0.0,0.06630063876986093,0.06630063876986093,1,False
arxiv,qurater,rps_doc_word_count,0.10600561450347484,0.0,0.10600561450347484,0.10600561450347484,1,0.10137759275483546,0.0,0.10137759275483546,0.10137759275483546,1,False
arxiv,modernbert_reasoning,dsir_math,0.1112559134133715,0.0,0.1112559134133715,0.1112559134133715,1,0.09822422394480362,0.0,0.09822422394480362,0.09822422394480362,1,False
arxiv,fineweb_edu,modernbert_reasoning,0.11186025111800972,0.0,0.11186025111800972,0.11186025111800972,1,0.12359732538599409,0.0,0.12359732538599409,0.12359732538599409,1,False
arxiv,fluency_en,modernbert_reasoning,0.11242745714289439,0.0,0.11242745714289439,0.11242745714289439,1,0.11870503825339988,0.0,0.11870503825339988,0.11870503825339988,1,False
arxiv,modernbert_professionalism,rps_doc_unigram_entropy,0.11262577987628655,0.0,0.11262577987628655,0.11262577987628655,1,0.1176883111264551,0.0,0.1176883111264551,0.1176883111264551,1,False
arxiv,fluency_en,rps_doc_frac_no_alph_words,0.11380940994640677,0.0,0.11380940994640677,0.11380940994640677,1,0.11440560350824991,0.0,0.11440560350824991,0.11440560350824991,1,False
arxiv,modernbert_reasoning,dsir_books,0.1138651010281875,0.0,0.1138651010281875,0.1138651010281875,1,0.10097855966841962,0.0,0.10097855966841962,0.10097855966841962,1,False
arxiv,modernbert_reasoning,dsir_wiki,0.1142304877033352,0.0,0.1142304877033352,0.1142304877033352,1,0.10104258895051747,0.0,0.10104258895051747,0.10104258895051747,1,False
arxiv,modernbert_reasoning,rps_doc_frac_chars_top_2gram,0.11443742449099104,0.0,0.11443742449099104,0.11443742449099104,1,0.03212115448793125,0.0,0.03212115448793125,0.03212115448793125,1,False
arxiv,modernbert_cleanliness,modernbert_readability,0.11607757753383434,0.0,0.11607757753383434,0.11607757753383434,1,0.11388602519618027,0.0,0.11388602519618027,0.11388602519618027,1,False
arxiv,fineweb_edu,rps_lines_numerical_chars_fraction,0.11836267336200226,0.0,0.11836267336200226,0.11836267336200226,1,0.055430391611746545,0.0,0.055430391611746545,0.055430391611746545,1,False
arxiv,modernbert_reasoning,qurater,0.12240815067996894,0.0,0.12240815067996894,0.12240815067996894,1,0.15076441119977274,0.0,0.15076441119977274,0.15076441119977274,1,False
arxiv,qurater,rps_doc_frac_no_alph_words,0.12360136829727779,0.0,0.12360136829727779,0.12360136829727779,1,0.1411721159243936,0.0,0.1411721159243936,0.1411721159243936,1,False
arxiv,modernbert_cleanliness,modernbert_reasoning,0.12786910959116216,0.0,0.12786910959116216,0.12786910959116216,1,0.14613933102657828,0.0,0.14613933102657828,0.14613933102657828,1,False
arxiv,modernbert_reasoning,modernbert_professionalism,0.1289754815466871,0.0,0.1289754815466871,0.1289754815466871,1,0.17073222364280657,0.0,0.17073222364280657,0.17073222364280657,1,False
arxiv,qurater,rps_doc_frac_unique_words,0.13039023241706485,0.0,0.13039023241706485,0.13039023241706485,1,0.10156979024447292,0.0,0.10156979024447292,0.10156979024447292,1,False
arxiv,modernbert_professionalism,rps_doc_frac_chars_top_2gram,0.14483097216604085,0.0,0.14483097216604085,0.14483097216604085,1,0.12260238275629597,0.0,0.12260238275629597,0.12260238275629597,1,False
arxiv,fluency_en,rps_doc_mean_word_length,0.14566744831203673,0.0,0.14566744831203673,0.14566744831203673,1,0.1477759232996952,0.0,0.1477759232996952,0.1477759232996952,1,False
arxiv,fineweb_edu,rps_doc_mean_word_length,0.15398855299521635,0.0,0.15398855299521635,0.15398855299521635,1,0.14143659473357095,0.0,0.14143659473357095,0.14143659473357095,1,False
arxiv,dsir_math,rps_doc_frac_chars_top_3gram,0.15520276250486595,0.0,0.15520276250486595,0.15520276250486595,1,0.16424417867035965,0.0,0.16424417867035965,0.16424417867035965,1,False
arxiv,dsir_wiki,rps_doc_frac_chars_top_3gram,0.15606817958963703,0.0,0.15606817958963703,0.15606817958963703,1,0.1658340611194029,0.0,0.1658340611194029,0.1658340611194029,1,False
arxiv,rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,0.15676529244030665,0.0,0.15676529244030665,0.15676529244030665,1,0.09375179665428508,0.0,0.09375179665428508,0.09375179665428508,1,False
arxiv,dsir_books,rps_doc_frac_chars_top_3gram,0.15887384492538556,0.0,0.15887384492538556,0.15887384492538556,1,0.1673474021329378,0.0,0.1673474021329378,0.1673474021329378,1,False
arxiv,qurater,rps_doc_mean_word_length,0.15903376526418903,0.0,0.15903376526418903,0.15903376526418903,1,0.09001641995787797,0.0,0.09001641995787797,0.09001641995787797,1,False
arxiv,qurater,rps_lines_ending_with_terminal_punctution_mark,0.167778357030008,0.0,0.167778357030008,0.167778357030008,1,0.15645156534899968,0.0,0.15645156534899968,0.15645156534899968,1,False
arxiv,modernbert_professionalism,rps_doc_word_count,0.1701819721271324,0.0,0.1701819721271324,0.1701819721271324,1,0.14663659865141956,0.0,0.14663659865141956,0.14663659865141956,1,False
arxiv,modernbert_professionalism,rps_doc_frac_unique_words,0.181918466141966,0.0,0.181918466141966,0.181918466141966,1,0.15543547294722038,0.0,0.15543547294722038,0.15543547294722038,1,False
arxiv,rps_doc_num_sentences,rps_lines_numerical_chars_fraction,0.20691071795816104,0.0,0.20691071795816104,0.20691071795816104,1,0.20454153772455808,0.0,0.20454153772455808,0.20454153772455808,1,False
arxiv,rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,0.2100232069592431,0.0,0.2100232069592431,0.2100232069592431,1,0.18277035411583903,0.0,0.18277035411583903,0.18277035411583903,1,False
arxiv,dsir_math,ad_en,0.21061265849722025,0.0,0.21061265849722025,0.21061265849722025,1,0.17584651557037884,0.0,0.17584651557037884,0.17584651557037884,1,False
arxiv,rps_doc_word_count,rps_doc_frac_chars_top_2gram,0.22069018046569314,0.0,0.22069018046569314,0.22069018046569314,1,0.19826660397625714,0.0,0.19826660397625714,0.19826660397625714,1,False
arxiv,modernbert_cleanliness,qurater,0.2224505391801852,0.0,0.2224505391801852,0.2224505391801852,1,0.2298462515516734,0.0,0.2298462515516734,0.2298462515516734,1,False
arxiv,fluency_en,modernbert_readability,0.22358960839960848,0.0,0.22358960839960848,0.22358960839960848,1,0.20831500207596212,0.0,0.20831500207596212,0.20831500207596212,1,False
arxiv,ad_en,rps_lines_uppercase_letter_fraction,0.2253515865642311,0.0,0.2253515865642311,0.2253515865642311,1,0.22653617283272542,0.0,0.22653617283272542,0.22653617283272542,1,False
arxiv,dsir_math,rps_lines_uppercase_letter_fraction,0.22834681900504877,0.0,0.22834681900504877,0.22834681900504877,1,0.22275302613632192,0.0,0.22275302613632192,0.22275302613632192,1,False
arxiv,dsir_books,ad_en,0.2305824509164728,0.0,0.2305824509164728,0.2305824509164728,1,0.20111645449439117,0.0,0.20111645449439117,0.20111645449439117,1,False
arxiv,dsir_wiki,ad_en,0.23177406705888398,0.0,0.23177406705888398,0.23177406705888398,1,0.20316485099766315,0.0,0.20316485099766315,0.20316485099766315,1,False
arxiv,fluency_en,ad_en,0.23462947626230582,0.0,0.23462947626230582,0.23462947626230582,1,0.2044718106418838,0.0,0.2044718106418838,0.2044718106418838,1,False
arxiv,rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,0.23996803490782234,0.0,0.23996803490782234,0.23996803490782234,1,0.2021254553561066,0.0,0.2021254553561066,0.2021254553561066,1,False
arxiv,dsir_books,rps_lines_uppercase_letter_fraction,0.2503066846189324,0.0,0.2503066846189324,0.2503066846189324,1,0.24594560462716913,0.0,0.24594560462716913,0.24594560462716913,1,False
arxiv,dsir_wiki,rps_lines_uppercase_letter_fraction,0.2520600426442514,0.0,0.2520600426442514,0.2520600426442514,1,0.2468721125049854,0.0,0.2468721125049854,0.2468721125049854,1,False
arxiv,modernbert_readability,qurater,0.252479893973146,0.0,0.252479893973146,0.252479893973146,1,0.28721776420800776,0.0,0.28721776420800776,0.28721776420800776,1,False
arxiv,rps_doc_frac_unique_words,rps_doc_mean_word_length,0.25771281641965277,0.0,0.25771281641965277,0.25771281641965277,1,0.2700190264860335,0.0,0.2700190264860335,0.2700190264860335,1,False
arxiv,rps_doc_unigram_entropy,rps_doc_frac_unique_words,0.26052251386815417,0.0,0.26052251386815417,0.26052251386815417,1,0.29954387214828637,0.0,0.29954387214828637,0.29954387214828637,1,False
arxiv,modernbert_cleanliness,ad_en,0.27749773186658466,0.0,0.27749773186658466,0.27749773186658466,1,0.24558477174471716,0.0,0.24558477174471716,0.24558477174471716,1,False
arxiv,modernbert_professionalism,rps_lines_uppercase_letter_fraction,0.2799309980656729,0.0,0.2799309980656729,0.2799309980656729,1,0.2796513188507564,0.0,0.2796513188507564,0.2796513188507564,1,False
