metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,0.23359617997554125,0.0,-0.2141616362250776,0.634461869608208,7
fineweb_edu,rps_doc_word_count,0.23412814316223937,0.0,-0.06270781021707883,0.4965350615455374,7
modernbert_readability,rps_doc_word_count,0.2366757656123099,0.0,-0.06142442677739899,0.5834447140111845,7
rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,0.24322722880013234,0.0,0.10082608572438913,0.5568590082245418,6
dsir_books,rps_doc_frac_chars_top_2gram,0.2477452450069127,0.0,-0.10208883776647265,0.4435934728957318,7
rps_doc_word_count,rps_doc_frac_chars_top_2gram,0.25438389763066105,0.0,-0.09356043971891514,0.4770226278768136,7
dsir_math,rps_doc_frac_chars_top_2gram,0.2573437481294374,0.0,-0.10188865469419255,0.44434913278911065,7
modernbert_readability,rps_doc_frac_no_alph_words,0.2580152418728013,0.0,-0.14935926514622352,0.5328772206981824,7
dsir_wiki,rps_doc_frac_chars_top_2gram,0.27033371930256267,0.0,-0.10177023658735813,0.44443962969850603,7
rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,0.2793353618572015,0.0,0.027666452301152947,0.4593588010407589,7
fineweb_edu,modernbert_professionalism,0.2799110139889794,0.0,-0.40748767584895723,0.6057201209848948,7
qurater,rps_doc_frac_no_alph_words,0.283615964130133,0.0,0.11896071364638483,0.43573975055292746,7
rps_doc_frac_no_alph_words,rps_lines_ending_with_terminal_punctution_mark,0.2858839165386756,0.0,0.03800017697730037,0.6926947012644858,6
fineweb_edu,fluency_en,0.2888976699552171,0.0,0.19759309930259517,0.4319774284204975,7
modernbert_cleanliness,modernbert_professionalism,0.30986812980193534,0.0,0.008772393279723933,0.5362772297033664,7
fluency_en,ad_en,0.3267543661904221,0.0,0.20906851807871574,0.5316921791506065,7
fineweb_edu,modernbert_readability,0.34074945131294193,0.0,0.24331391311262837,0.575116128754295,7
modernbert_professionalism,rps_doc_frac_unique_words,0.3517625355938356,0.0,0.07689298485612116,0.6752655997255388,7
modernbert_readability,modernbert_reasoning,0.36184438118296197,0.0,0.08764750332265857,0.6208551471096974,7
rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,0.3647546218540976,0.0,0.02237352447643674,0.5919286592686296,7
fluency_en,modernbert_cleanliness,0.3758489402748606,0.0,0.14076053534231034,0.7036547878918544,7
fineweb_edu,modernbert_reasoning,0.3765943545532327,0.0,0.11186025111800972,0.668253975959544,7
fluency_en,modernbert_readability,0.3809427978347414,0.0,0.20432463894374053,0.6788120177183516,7
modernbert_professionalism,qurater,0.3856380801974716,0.0,0.1035073197064956,0.5496725153443305,7
modernbert_cleanliness,modernbert_reasoning,0.3950190618735746,0.0,0.12786910959116216,0.6670596638822438,7
modernbert_reasoning,rps_doc_frac_unique_words,0.39730675627266876,0.0,0.09957726515775661,0.6193669197757903,7
modernbert_professionalism,rps_doc_num_sentences,0.4022534144634729,0.0,0.06173322840981975,0.685366639897196,7
modernbert_reasoning,rps_doc_num_sentences,0.415557547137589,0.0,0.06143259960182328,0.7235083895578813,7
modernbert_reasoning,qurater,0.4244500465262435,0.0,0.12240815067996894,0.5676413220904649,7
modernbert_reasoning,dsir_math,0.43912792413358825,0.0,-0.0037350849017119773,0.7027115375047703,7
modernbert_reasoning,dsir_wiki,0.44691708770727806,0.0,0.010194390423776054,0.7088645313960815,7
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,0.458111676536885,0.0,0.33928528571771427,0.6362825557002678,7
modernbert_reasoning,dsir_books,0.46106009194445574,0.0,0.1138651010281875,0.7022195210400698,7
modernbert_professionalism,rps_doc_unigram_entropy,0.46717839404711,0.0,0.11262577987628655,0.6887200950064927,7
modernbert_professionalism,rps_doc_word_count,0.470189817897849,0.0,0.1701819721271324,0.7507900541700442,7
modernbert_cleanliness,qurater,0.4713371251617834,0.0,0.2224505391801852,0.6303731256757149,7
fineweb_edu,qurater,0.479218424752949,0.0,0.2782325987586784,0.6719351101103486,7
fluency_en,qurater,0.4890649906355862,0.0,0.3113301126695797,0.6424055532605362,7
rps_doc_unigram_entropy,rps_doc_frac_unique_words,0.4891798866575304,0.0,0.15266517867857057,0.7049760549809723,7
