quality_domain,metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
arxiv,modernbert_cleanliness,dsir_books,-0.03299780777700474,0.03299780777700474,-0.03299780777700474,-0.03299780777700474,1
arxiv,modernbert_readability,rps_doc_mean_word_length,-0.03226495221637905,0.03226495221637905,-0.03226495221637905,-0.03226495221637905,1
arxiv,ad_en,rps_doc_frac_chars_top_2gram,-0.03172688904415999,0.03172688904415999,-0.03172688904415999,-0.03172688904415999,1
arxiv,modernbert_cleanliness,dsir_wiki,-0.031178167252429497,0.031178167252429497,-0.031178167252429497,-0.031178167252429497,1
arxiv,modernbert_readability,rps_doc_unigram_entropy,-0.02953807638736346,0.02953807638736346,-0.02953807638736346,-0.02953807638736346,1
arxiv,rps_doc_num_sentences,rps_doc_mean_word_length,-0.02888302340030433,0.02888302340030433,-0.02888302340030433,-0.02888302340030433,1
arxiv,ad_en,rps_doc_word_count,-0.027987776383856394,0.027987776383856394,-0.027987776383856394,-0.027987776383856394,1
arxiv,modernbert_reasoning,ad_en,-0.027452864456329367,0.027452864456329367,-0.027452864456329367,-0.027452864456329367,1
arxiv,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_3gram,-0.026583079985147393,0.026583079985147393,-0.026583079985147393,-0.026583079985147393,1
arxiv,modernbert_readability,rps_doc_frac_chars_top_3gram,-0.02315763411904645,0.02315763411904645,-0.02315763411904645,-0.02315763411904645,1
arxiv,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,-0.021547488606922315,0.021547488606922315,-0.021547488606922315,-0.021547488606922315,1
arxiv,qurater,rps_doc_frac_chars_top_3gram,-0.019646811240072892,0.019646811240072892,-0.019646811240072892,-0.019646811240072892,1
arxiv,fineweb_edu,modernbert_cleanliness,-0.01719860302762816,0.01719860302762816,-0.01719860302762816,-0.01719860302762816,1
arxiv,rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,-0.014751883795148007,0.014751883795148007,-0.014751883795148007,-0.014751883795148007,1
arxiv,dsir_math,qurater,-0.012632469072670651,0.012632469072670651,-0.012632469072670651,-0.012632469072670651,1
arxiv,dsir_wiki,qurater,-0.011338577309752558,0.011338577309752558,-0.011338577309752558,-0.011338577309752558,1
arxiv,fineweb_edu,rps_doc_num_sentences,-0.010685258537476303,0.010685258537476303,-0.010685258537476303,-0.010685258537476303,1
