N0,D0,Q0,Q1,N1,D1,N_multiplier,D_multiplier,N_status,D_status
0.7,150.0,0.5,0.73,0.41082342977892083,61.10964730241874,0.586890613969887,0.4073976486827916,supported,supported
0.7,150.0,0.5,0.74,0.40143167235333643,58.99385889558452,0.5734738176476235,0.39329239263723015,supported,supported
0.7,150.0,0.5,0.75,0.39225998923317035,56.96744273745451,0.5603714131902434,0.3797829515830301,supported,supported
0.7,150.0,0.5,0.76,0.38330353908290143,55.02599708718524,0.547576484404145,0.3668399805812349,supported,supported
0.7,150.0,0.5,0.77,0.37455756549693864,53.16536554551134,0.535082236424198,0.35443577030340895,supported,supported
0.7,150.0,0.5,0.78,0.36601739649345677,51.381621905615816,0.5228819949906526,0.34254414603743877,supported,supported
0.7,150.0,0.5,0.79,0.3576784439910385,49.67105602368689,0.5109692057014836,0.3311403734912459,supported,supported
0.7,150.0,0.5,0.8,0.3495362032348148,48.03016063531922,0.49933743319259266,0.3202010709021281,supported,supported
0.7,150.0,0.5,0.8099999999999999,0.34158625218642524,46.455619049553405,0.4879803602663218,0.3097041269970227,supported,supported
0.7,150.0,0.5,0.82,0.33382425087772905,44.94429365764859,0.4768917869681844,0.29962862438432397,supported,supported
0.7,150.0,0.5,0.83,0.32624594073013985,43.49321519844535,0.46606562961448555,0.28995476798963565,supported,supported
0.7,150.0,0.5,0.84,0.3188471438413738,42.09957272661529,0.45549591977339116,0.2806638181774353,supported,supported
0.7,150.0,0.5,0.85,0.3116237622414361,40.76070423418261,0.4451768032020516,0.27173802822788407,supported,supported
0.7,150.0,0.5,0.86,0.30457177711968003,39.47408787936347,0.43510253874240007,0.26316058586242314,supported,supported
0.7,150.0,0.5,0.87,0.297687248024241,38.237333780357446,0.4252674971774872,0.2549155585357163,supported,supported
0.7,150.0,0.5,0.88,0.29096631203680007,37.04817633472429,0.41566616005257156,0.24698784223149525,supported,supported
0.7,150.0,0.5,0.89,0.2844051829226649,35.90446702802891,0.4062931184609499,0.23936311352019274,supported,supported
0.7,150.0,0.5,0.9,0.27800015025920205,34.8041676980652,0.3971430717988601,0.232027784653768,supported,supported
0.7,150.0,0.5,0.91,0.2717475785436828,33.74534422346086,0.3882108264909755,0.22496896148973908,supported,supported
