repeat,policy,selected_index,frozen_selected_index,same_as_frozen,refit_regret_using_frozen_choice,frozen_regret_using_refit_choice,selected_feature_domains,chosen_alpha_13
12,minimax,97,477,False,0.003089583618095082,0.0025900536515444106,freelaw|pile_cc|pubmed_central|github|arxiv,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
13,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
13,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
13,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
13,minimax,477,477,True,0.0,0.0,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
14,unconstrained,136,136,True,0.0,0.0,freelaw|github|arxiv|pile_cc|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.001|0.001|0.1|0.1
14,quality_direct,477,301,False,0.01308475409073874,6.151112186358193e-05,freelaw|github|arxiv|pile_cc|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.001|0.001|0.1|0.1
14,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|github|arxiv|pile_cc|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.001|0.001|0.1|0.1
14,minimax,477,477,True,0.0,0.0,freelaw|github|arxiv|pile_cc|pubmed_central,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.001|0.001|0.1|0.1
15,unconstrained,136,136,True,0.0,0.0,freelaw|pile_cc|pubmed_central|arxiv|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
15,quality_direct,301,301,True,0.0,0.0,freelaw|pile_cc|pubmed_central|arxiv|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
15,quality_direct_and_near,384,172,False,0.0019112825784121379,0.003407985373192826,freelaw|pile_cc|pubmed_central|arxiv|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
15,minimax,97,477,False,0.0015685751153338146,0.0025900536515444106,freelaw|pile_cc|pubmed_central|arxiv|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
16,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
16,quality_direct,477,301,False,0.006044423074834243,6.151112186358193e-05,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
16,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
16,minimax,367,477,False,0.010188777027233087,0.008278341016680901,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.1|0.1
17,unconstrained,136,136,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
17,quality_direct,477,301,False,0.007443260872451743,6.151112186358193e-05,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
17,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
17,minimax,367,477,False,0.0021613844567753837,0.008278341016680901,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
18,unconstrained,136,136,True,0.0,0.0,stackexchange|arxiv|github|pile_cc|pubmed_central,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
18,quality_direct,84,301,False,0.01893390534500962,0.010177373071483344,stackexchange|arxiv|github|pile_cc|pubmed_central,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
18,quality_direct_and_near,84,172,False,0.003976978527859276,0.0256261008610291,stackexchange|arxiv|github|pile_cc|pubmed_central,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
18,minimax,367,477,False,0.02677122070217597,0.008278341016680901,stackexchange|arxiv|github|pile_cc|pubmed_central,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
19,unconstrained,136,136,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
19,quality_direct,301,301,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
19,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
19,minimax,477,477,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
