index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
56,0.0528942115768463,0.008982035928143712,0.01996007984031936,0.008982035928143712,0.0,0.007984031936127744,0.007984031936127744,0.012974051896207584,0.08882235528942116,0.0,0.20359281437125748,0.281437125748503,0.04291417165668662,0.001996007984031936,0.021956087824351295,0.04890219560878244,0.1906187624750499
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13886113886113888,0.8591408591408592,0.0,0.0019980019980019984,0.0,0.0,0.0
58,0.019,0.0,0.0,0.0,0.108,0.0,0.143,0.0,0.0,0.0,0.005,0.725,0.0,0.0,0.0,0.0,0.0
59,0.2782782782782783,0.0,0.035035035035035036,0.5735735735735735,0.0,0.0,0.0,0.0,0.014014014014014014,0.0,0.0,0.0,0.0,0.0,0.0,0.0990990990990991,0.0
60,0.311,0.0,0.0,0.087,0.003,0.0,0.008,0.0,0.382,0.0,0.105,0.0,0.0,0.038,0.0,0.066,0.0
61,0.022022022022022022,0.2742742742742743,0.0,0.0,0.003003003003003003,0.001001001001001001,0.01001001001001001,0.0,0.28728728728728725,0.0,0.002002002002002002,0.011011011011011011,0.0,0.0,0.1091091091091091,0.2802802802802803,0.0
62,0.11,0.005,0.0,0.301,0.011,0.003,0.083,0.009,0.219,0.008,0.0,0.001,0.003,0.063,0.0,0.0,0.184
63,0.029,0.034,0.011,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.013,0.068,0.001,0.007,0.0,0.546,0.029
64,0.6003996003996005,0.004995004995004996,0.01198801198801199,0.2947052947052947,0.0,0.0009990009990009992,0.03596403596403597,0.0,0.0,0.0,0.0,0.01098901098901099,0.009990009990009992,0.016983016983016987,0.0,0.0009990009990009992,0.01198801198801199
65,0.091,0.026,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.067,0.786,0.0,0.0,0.014,0.002,0.01
66,0.0,0.0,0.0,0.017982017982017984,0.0,0.0,0.0019980019980019984,0.0,0.04695304695304696,0.0,0.0019980019980019984,0.5734265734265734,0.0,0.05694305694305695,0.0019980019980019984,0.10889110889110891,0.18981018981018982
67,0.0029970029970029966,0.0839160839160839,0.006993006993006992,0.011988011988011986,0.4645354645354645,0.044955044955044945,0.0779220779220779,0.0,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.009990009990009988,0.0029970029970029966,0.22877122877122877
68,0.0,0.003,0.019,0.0,0.0,0.221,0.005,0.0,0.082,0.021,0.138,0.445,0.0,0.0,0.0,0.066,0.0
69,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.89,0.049,0.044,0.013,0.0,0.0
70,0.0,0.0,0.0,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.029,0.117,0.0
71,0.0,0.021,0.0,0.099,0.002,0.0,0.502,0.003,0.001,0.0,0.0,0.005,0.0,0.004,0.077,0.019,0.267
