budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,restricted_axis,restricted_upper,loss_penalty
1e+22,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.242749268202901,7.985405714450167e-08,1e-07,17,3.7113005860074395,81.0433493804848,1.0,2.2427493480569582,attachment_B7_native_val_loss,1.8046573802867933e+21,7.884668404965019e+21,3.1067421474818654e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,0.0
1e+24,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,9.41359104e+22,1.1500297697086422e+21,1.1683194016970864e+23,0.11683194016970865,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,N_params_B,6.9,
1e+22,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.243483927372124,6.531578433666141e-08,1e-07,17,3.7408548818920186,79.87418505455776,1.0,2.243483992687908,attachment_B7_native_val_loss,1.7927864105909334e+21,7.832803346965828e+21,3.744102424432395e+20,1e+22,1.0,Q_max,N_params_B,6.9,0.0
1e+24,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,1.08527616e+23,2.8125e+21,1.36180116e+23,0.136180116,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,D_tokens_B,300.0,
1e+22,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.243483927372124,6.531578433666141e-08,1e-07,17,3.740854881892081,79.87418505455648,1.0,2.243483992687908,attachment_B7_native_val_loss,1.7927864105909347e+21,7.832803346965832e+21,3.7441024244323346e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,0.0
1e+24,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,9.41359104e+22,1.40625e+21,1.170881604e+23,0.11708816039999999,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,N_params_B,6.9,
1e+22,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.240446035025466,9.916012277955133e-08,1e-07,13,3.617880432983541,84.91839242850428,1.0,2.240446134185589,attachment_B7_native_val_loss,1.8433475422050197e+21,8.053708301729879e+21,1.0294415606510173e+20,1e+22,1.0,Q_max,N_params_B,6.9,4.440892098500626e-16
1e+24,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,1.08527616e+23,7.27362964284379e+20,1.3409497896428438e+23,0.13409497896428438,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,D_tokens_B,300.0,
1e+22,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.240446035025466,9.916012277955133e-08,1e-07,13,3.6178804329835206,84.91839242850475,1.0,2.240446134185589,attachment_B7_native_val_loss,1.8433475422050197e+21,8.053708301729878e+21,1.029441560651023e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,4.440892098500626e-16
1e+24,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,9.41359104e+22,3.636814821421895e+20,1.1604559188214219e+23,0.11604559188214218,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
