budget_FLOPs,context_tokens,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
1e+22,24576,power,0.00490565912780383,0.5046728993669081,0.41342803916137105,0.08189906147172087
3e+22,24576,power,0.00247371996851653,0.5214734554315497,0.4271910546895255,0.05133548987892488
1e+23,24576,power,0.0,0.5306539314451866,0.4347117006398968,0.034634367914916614
3e+23,24576,power,0.0,0.5306539314451865,0.4347117006398968,0.03463436791491663
1e+24,24576,power,0.0,0.5306539314451865,0.4347117006398968,0.03463436791491663
1e+19,24576,logarithmic,0.005382749550100652,0.5496921723834646,0.4503078276165341,1.4305114746026624e-15
3e+19,24576,logarithmic,0.0,0.32756676796752543,0.2683426963189968,0.40409053571347775
1e+20,24576,logarithmic,0.0,0.4595595184048295,0.3764711574772363,0.1639693241179341
3e+20,24576,logarithmic,0.0,0.48958235186438787,0.4010658626473066,0.10935178548830557
1e+21,24576,logarithmic,0.0,0.5128811418534223,0.42015223140632346,0.06696662674025428
3e+21,24576,logarithmic,0.0,0.526888726627286,0.4316272448530728,0.041484028519641204
1e+22,24576,logarithmic,0.0,0.5365097375700033,0.43950877701734675,0.023981485412649814
3e+22,24576,logarithmic,0.0,0.5418050283473306,0.44384667922213317,0.01434829243053626
1e+23,24576,logarithmic,0.0,0.5446387843204823,0.4461680921153391,0.009193123564178653
3e+23,24576,logarithmic,0.0,0.5446387843204823,0.4461680921153391,0.009193123564178656
1e+24,24576,logarithmic,0.0,0.5446387843204823,0.4461680921153391,0.009193123564178656
1e+19,30000,exponential,0.0,0.46369071513537496,0.46369071513537496,0.07261856972924999
3e+19,30000,exponential,0.07015090621677844,0.3892412107337168,0.3892412107337168,0.22151757853256634
1e+20,30000,exponential,0.05416937020939061,0.3415364141200699,0.3415364141200699,0.31692717175986024
3e+20,30000,exponential,0.02882872874854492,0.3804086168335256,0.3804086168335256,0.23918276633294888
1e+21,30000,exponential,0.014568561096187427,0.4189395666690142,0.4189395666690142,0.16212086666197165
3e+21,30000,exponential,0.007590629652251657,0.4460131402221982,0.4460131402221982,0.10797371955560368
1e+22,30000,exponential,0.003626423623058095,0.46697630485841557,0.46697630485841557,0.06604739028316876
3e+22,30000,exponential,0.0018198694470132892,0.47955763952924557,0.47955763952924557,0.040884720941508884
1e+23,30000,exponential,0.0,0.48700297233541445,0.48700297233541445,0.025994055329171113
3e+23,30000,exponential,0.0,0.4870029723354144,0.4870029723354144,0.025994055329171126
1e+24,30000,exponential,0.0,0.4870029723354144,0.4870029723354144,0.025994055329171126
1e+19,30000,power,0.004978961868053133,0.5,0.5,0.0
3e+19,30000,power,0.10897188073990582,0.4082291856745958,0.4082291856745958,0.1835416286508083
1e+20,30000,power,0.07665568315106563,0.3051388062057051,0.3051388062057051,0.3897223875885898
3e+20,30000,power,0.03704390202746666,0.3653084672309357,0.3653084672309357,0.26938306553812863
1e+21,30000,power,0.01888987420539845,0.406679920358411,0.406679920358411,0.18664015928317804
3e+21,30000,power,0.009910331103860415,0.43674145324520386,0.43674145324520386,0.12651709350959234
1e+22,30000,power,0.004761717991808467,0.4607111342041751,0.4607111342041751,0.07857773159164978
3e+22,30000,power,0.0023981740583898237,0.475437302409439,0.475437302409439,0.049125395181122
1e+23,30000,power,0.0,0.48419881680740257,0.48419881680740257,0.03160236638519492
3e+23,30000,power,0.0,0.48419881680740257,0.48419881680740257,0.03160236638519493
1e+24,30000,power,0.0,0.48419881680740257,0.48419881680740257,0.03160236638519493
1e+19,30000,logarithmic,0.00497896186801583,0.4999999999999998,0.4999999999999998,4.768371582027572e-16
3e+19,30000,logarithmic,0.0,0.2979547321441047,0.2979547321441047,0.40409053571179065
1e+20,30000,logarithmic,0.0,0.42083980930196785,0.42083980930196785,0.15832038139606422
3e+20,30000,logarithmic,0.0,0.44742469850876804,0.44742469850876804,0.10515060298246395
1e+21,30000,logarithmic,0.0,0.4679148794602989,0.4679148794602989,0.06417024107940217
3e+21,30000,logarithmic,0.0,0.48016826779581817,0.48016826779581817,0.039663464408363554
1e+22,30000,logarithmic,0.0,0.4885536823211454,0.4885536823211454,0.022892635357709315
