scenario,domain,p,reference_p,delta_p,qa_mapping_type,quality_Q_A,target_absolute_changes_json
convex_hull__equal_13,europarl,0.0,0.012737064754031531,-0.012737064754031531,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,hackernews,0.03903903903903904,0.011650822378108678,0.027388216660930362,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,pubmed_abstracts,0.001001001001001001,0.06618116611257162,-0.06518016511157061,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,uspto_backgrounds,0.002002002002002002,0.07556475309333588,-0.07356275109133388,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__arxiv_only,arxiv,0.9021956087824351,0.11302252583269279,0.7891730829497423,direct,2.7252526038451155,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,freelaw,0.0,0.0968248321520278,-0.0968248321520278,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,nih_exporter,0.0,0.00588968021709595,-0.00588968021709595,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,pubmed_central,0.08383233532934133,0.11375419105058357,-0.029921855721242244,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,wikipedia_en,0.008982035928143712,0.07507775607983627,-0.06609572015169256,near_direct,-0.2944371095837085,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,dm_mathematics,0.0,0.0254628540970504,-0.0254628540970504,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,github,0.0,0.11070066007050916,-0.11070066007050916,direct,-0.505484640415014,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,philpapers,0.0,0.005487697351193036,-0.005487697351193036,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,stackexchange,0.0,0.09943242344413017,-0.09943242344413017,direct,0.2516700815385636,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,enron_emails,0.0,0.002211033043406226,-0.002211033043406226,inferred,,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,gutenberg_pg_19,0.0,0.04691494424753537,-0.04691494424753537,near_direct,2.918312769566993,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
convex_hull__arxiv_only,pile_cc,0.001996007984031936,0.11948759779188561,-0.11749158980785368,near_direct,0.4367240822461798,"{""arxiv"":-2.377644889775331,""dm_mathematics"":0.9817759989675144,""freelaw"":0.5879118118526776,""github"":0.8903782080744483,""gutenberg_pg_19"":0.3702595981936465,""hackernews"":0.4624845939825502,""pile_cc"":0.3799727421212713,""pubmed_abstracts"":0.33108575870689544,""pubmed_central"":-0.0635932462379284,""stackexchange"":0.5979624271958591,""ubuntu_irc"":0.5783797436563413,""uspto_backgrounds"":0.3256473400090997,""wikipedia_en"":0.36278330097077277}"
