bridge_lambda,eta,weights,p_policy,N_params_B,D_tokens_B,Q_score,status,loss,factor
1,-0.5,equal_13,QA_direct,1,100,0.5,valid,2.263949598559698,0.8818074652316975
1,-0.5,equal_13,QA_direct,10,100,0.5,valid,1.4435163329705532,0.6262423877035227
1,-0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
1,-0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
1,-0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
1,-0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.1007605363594646,1.0135545490859112
1,-0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.677443687230232,1.0428632477680329
1,-0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.6174824557902925,1.1355454908591125
1,-0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,3.0189557796997963,0.9868147920885458
1,-0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.4603483783190794,0.9583047115769331
1,-0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.001119259633816,0.8681479208854581
1,-0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
1,-0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
1,-0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
1,-0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0207761202504533,0.9874098120600557
1,-0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.4651792391431315,0.9601863299401929
1,-0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.0148347324951787,0.8740981206005575
1,-0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0368328327029213,0.9926583160185946
1,-0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.507790904922767,0.9767835567575855
1,-0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.135815064337523,0.9265831601859458
1,0,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
1,0,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
1,0,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
1,0,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.612953366898293,0.8541036111993697
1,0,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.1928228144395785,0.8541036111993697
1,0,equal_13,ridge_hull_optimum,10,100,0.5,valid,1.9687465061836569,0.8541036111993697
1,0,equal_13,QA_direct,0.1,100,0.5,valid,2.6977075790578438,0.8818074652316975
1,0,equal_13,QA_direct,1,100,0.5,valid,2.263949598559698,0.8818074652316975
1,0,equal_13,QA_direct,10,100,0.5,valid,2.0326051120000836,0.8818074652316975
1,0,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
1,0,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
1,0,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
1,0,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.190424438837663,1.0428632477680329
1,0,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.677443687230232,1.0428632477680329
1,0,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.403845796398819,1.0428632477680329
