policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,observed_512,10.0,100.0,0.5,0.75,0.0,exp_bridge,valid,2.114462903718219,0.059958800793422196
equal_13,observed_512,10.0,100.0,0.5,0.75,0.0,linear_bridge,valid,2.106121156172672,0.051617053247875244
equal_13,observed_512,10.0,100.0,0.5,0.75,0.1,exp_bridge,valid,2.1523281100450977,0.09782400712030093
equal_13,observed_512,10.0,100.0,0.5,0.75,0.1,linear_bridge,valid,2.147033993132636,0.0925298902078393
equal_13,observed_512,10.0,100.0,0.5,0.75,0.2,exp_bridge,valid,2.1828881508932088,0.12838404796841196
equal_13,observed_512,10.0,100.0,0.5,0.75,0.2,linear_bridge,valid,2.1795322146926064,0.1250281117678096
equal_13,observed_512,10.0,100.0,0.5,0.75,0.4,exp_bridge,valid,2.227196396069215,0.17269229314441814
equal_13,observed_512,10.0,100.0,0.5,0.75,0.4,linear_bridge,valid,2.2258514612318243,0.17134735830702752
equal_13,observed_512,10.0,100.0,0.5,1.0,0.0,exp_bridge,valid,2.054504102924797,0.0
equal_13,observed_512,10.0,100.0,0.5,1.0,0.0,linear_bridge,valid,2.0398135018298134,-0.014690601094983435
equal_13,observed_512,10.0,100.0,0.5,1.0,0.1,exp_bridge,valid,2.103705244034326,0.049201141109529
equal_13,observed_512,10.0,100.0,0.5,1.0,0.1,linear_bridge,valid,2.094363951109765,0.03985984818496835
equal_13,observed_512,10.0,100.0,0.5,1.0,0.2,exp_bridge,valid,2.143625413603847,0.08912131067905005
equal_13,observed_512,10.0,100.0,0.5,1.0,0.2,linear_bridge,valid,2.1376949131897254,0.08319081026492858
equal_13,observed_512,10.0,100.0,0.5,1.0,0.4,exp_bridge,valid,2.2018358545282974,0.14733175160350065
equal_13,observed_512,10.0,100.0,0.5,1.0,0.4,linear_bridge,valid,2.1994539085753493,0.1449498056505525
equal_13,observed_512,10.0,100.0,0.5,1.25,0.0,exp_bridge,valid,1.9962455248150002,-0.05825857810979662
equal_13,observed_512,10.0,100.0,0.5,1.25,0.0,linear_bridge,valid,1.9735058474869545,-0.08099825543784234
equal_13,observed_512,10.0,100.0,0.5,1.25,0.1,exp_bridge,valid,2.0561808086429694,0.0016767057181725775
equal_13,observed_512,10.0,100.0,0.5,1.25,0.1,linear_bridge,valid,2.041693909086894,-0.012810193837902606
equal_13,observed_512,10.0,100.0,0.5,1.25,0.2,exp_bridge,valid,2.1050688794879377,0.050564776563140956
equal_13,observed_512,10.0,100.0,0.5,1.25,0.2,linear_bridge,valid,2.095857611686845,0.04135350876204802
equal_13,observed_512,10.0,100.0,0.5,1.25,0.4,exp_bridge,valid,2.1767640872815477,0.1222599843567509
equal_13,observed_512,10.0,100.0,0.5,1.25,0.4,linear_bridge,valid,2.1730563559188742,0.11855225299407746
equal_13,observed_512,10.0,100.0,0.5,1.5,0.0,exp_bridge,valid,1.9396389569973917,-0.11486514592740504
equal_13,observed_512,10.0,100.0,0.5,1.5,0.0,linear_bridge,valid,1.9071981931440956,-0.14730590978070124
equal_13,observed_512,10.0,100.0,0.5,1.5,0.1,exp_bridge,valid,2.0097299894179796,-0.04477411350681715
equal_13,observed_512,10.0,100.0,0.5,1.5,0.1,linear_bridge,valid,1.9890238670640232,-0.06548023586077356
equal_13,observed_512,10.0,100.0,0.5,1.5,0.2,exp_bridge,valid,2.0672058463510696,0.012701743426272838
equal_13,observed_512,10.0,100.0,0.5,1.5,0.2,linear_bridge,valid,2.0540203101839642,-0.00048379274083254487
equal_13,observed_512,10.0,100.0,0.5,1.5,0.4,exp_bridge,valid,2.1519778061265895,0.09747370320179272
equal_13,observed_512,10.0,100.0,0.5,1.5,0.4,linear_bridge,valid,2.146658803262399,0.09215470033760242
equal_13,continuous_hull,0.1,100.0,0.5,0,0.0,exp_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.0,linear_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.1,exp_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.1,linear_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.2,exp_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.2,linear_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.4,exp_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0,0.4,linear_bridge,valid,3.0592931965585177,0.3326480442483688
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.0,exp_bridge,valid,2.8881840252815785,0.16153887297142955
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.0,linear_bridge,valid,2.883212614925009,0.1565674626148601
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.1,exp_bridge,valid,2.845461409200854,0.11881625689070496
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.1,linear_bridge,valid,2.8376208778165966,0.11097572550644763
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.2,exp_bridge,valid,2.7925742641089655,0.06592911179881655
