scope,candidate_set,weight_scenario,model,n_candidates,selected_index,selected_hull_status,actual_best_index,realized_rank,realized_top_decile,realized_relative_regret
test_1m,all_heldout,dirichlet_sparse_038,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,199,9,True,0.0705119620694993
test_1m,all_heldout,dirichlet_sparse_039,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,130,70,False,0.24715784456218987
test_1m,all_heldout,dirichlet_sparse_039,interaction_candidate,256,130,OUT_OF_TRAINING_SUPPORT,130,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_040,ridge_v1.3,256,49,OUT_OF_TRAINING_SUPPORT,117,12,True,0.0339189573846445
test_1m,all_heldout,dirichlet_sparse_040,interaction_candidate,256,49,OUT_OF_TRAINING_SUPPORT,117,12,True,0.0339189573846445
test_1m,all_heldout,dirichlet_sparse_041,ridge_v1.3,256,54,OUT_OF_TRAINING_SUPPORT,189,57,False,0.1862328307193498
test_1m,all_heldout,dirichlet_sparse_041,interaction_candidate,256,228,OUT_OF_TRAINING_SUPPORT,189,19,True,0.10110994478769897
test_1m,all_heldout,dirichlet_sparse_042,ridge_v1.3,256,87,OUT_OF_TRAINING_SUPPORT,206,123,False,0.3767963596262968
test_1m,all_heldout,dirichlet_sparse_042,interaction_candidate,256,69,OUT_OF_TRAINING_SUPPORT,206,2,True,0.025496124621400367
test_1m,all_heldout,dirichlet_sparse_043,ridge_v1.3,256,213,OUT_OF_TRAINING_SUPPORT,90,35,False,0.13971601775586173
test_1m,all_heldout,dirichlet_sparse_043,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,90,94,False,0.2370910379362106
test_1m,all_heldout,dirichlet_sparse_044,ridge_v1.3,256,7,OUT_OF_TRAINING_SUPPORT,6,31,False,0.09661050460256605
test_1m,all_heldout,dirichlet_sparse_044,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,6,33,False,0.09782812821391276
test_1m,all_heldout,dirichlet_sparse_045,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,59,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_045,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,59,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_046,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,219,3,True,0.015973001031068593
test_1m,all_heldout,dirichlet_sparse_046,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,219,3,True,0.015973001031068593
test_1m,all_heldout,dirichlet_sparse_047,ridge_v1.3,256,221,OUT_OF_TRAINING_SUPPORT,226,9,True,0.09381957838340654
test_1m,all_heldout,dirichlet_sparse_047,interaction_candidate,256,221,OUT_OF_TRAINING_SUPPORT,226,9,True,0.09381957838340654
test_1m,all_heldout,dirichlet_sparse_048,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,96,49,False,0.15452301272111757
test_1m,all_heldout,dirichlet_sparse_048,interaction_candidate,256,175,OUT_OF_TRAINING_SUPPORT,96,43,False,0.14036746640488731
test_1m,all_heldout,dirichlet_sparse_049,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,240,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_049,interaction_candidate,256,49,OUT_OF_TRAINING_SUPPORT,240,9,True,0.05026128922046734
test_1m,all_heldout,dirichlet_sparse_050,ridge_v1.3,256,140,OUT_OF_TRAINING_SUPPORT,239,4,True,0.049945363103339586
test_1m,all_heldout,dirichlet_sparse_050,interaction_candidate,256,45,OUT_OF_TRAINING_SUPPORT,239,2,True,0.01026028842630377
test_1m,all_heldout,dirichlet_sparse_051,ridge_v1.3,256,54,OUT_OF_TRAINING_SUPPORT,245,2,True,0.0042860823431469615
test_1m,all_heldout,dirichlet_sparse_051,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,245,49,False,0.1756838587696406
test_1m,all_heldout,dirichlet_sparse_052,ridge_v1.3,256,224,OUT_OF_TRAINING_SUPPORT,53,68,False,0.19167130194067405
test_1m,all_heldout,dirichlet_sparse_052,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,53,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_053,ridge_v1.3,256,124,OUT_OF_TRAINING_SUPPORT,254,6,True,0.0235644030061991
test_1m,all_heldout,dirichlet_sparse_053,interaction_candidate,256,124,OUT_OF_TRAINING_SUPPORT,254,6,True,0.0235644030061991
test_1m,all_heldout,dirichlet_sparse_054,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,35,18,True,0.07933283627278015
test_1m,all_heldout,dirichlet_sparse_054,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,35,18,True,0.07933283627278015
test_1m,all_heldout,dirichlet_sparse_055,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,140,14,True,0.060697004666878406
test_1m,all_heldout,dirichlet_sparse_055,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,140,14,True,0.060697004666878406
test_1m,all_heldout,dirichlet_sparse_056,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,155,172,False,0.4205794519943124
test_1m,all_heldout,dirichlet_sparse_056,interaction_candidate,256,69,OUT_OF_TRAINING_SUPPORT,155,13,True,0.0937135502087988
test_1m,all_heldout,dirichlet_sparse_057,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,224,30,False,0.045781608841646
test_1m,all_heldout,dirichlet_sparse_057,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,224,30,False,0.045781608841646
test_1m,all_heldout,dirichlet_sparse_058,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,5,14,True,0.07382397907937444
test_1m,all_heldout,dirichlet_sparse_058,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,5,8,True,0.0533085788219909
test_1m,all_heldout,dirichlet_sparse_059,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,244,191,False,0.4057327364251753
test_1m,all_heldout,dirichlet_sparse_059,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,244,79,False,0.21956819873977657
test_1m,all_heldout,dirichlet_sparse_060,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,119,13,True,0.07712340365067608
test_1m,all_heldout,dirichlet_sparse_060,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,119,13,True,0.07712340365067608
test_1m,all_heldout,dirichlet_sparse_061,ridge_v1.3,256,117,OUT_OF_TRAINING_SUPPORT,163,2,True,0.004348377154056363
test_1m,all_heldout,dirichlet_sparse_061,interaction_candidate,256,49,OUT_OF_TRAINING_SUPPORT,163,35,False,0.08326197883604261
test_1m,all_heldout,dirichlet_sparse_062,ridge_v1.3,256,87,OUT_OF_TRAINING_SUPPORT,44,140,False,0.41340708193234854
test_1m,all_heldout,dirichlet_sparse_062,interaction_candidate,256,215,OUT_OF_TRAINING_SUPPORT,44,3,True,0.059483862545007565
test_1m,all_heldout,dirichlet_sparse_063,ridge_v1.3,256,7,OUT_OF_TRAINING_SUPPORT,130,108,False,0.22944820199042415
test_1m,all_heldout,dirichlet_sparse_063,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,130,86,False,0.19493982203851862
test_1m,all_heldout,dirichlet_sparse_064,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,111,33,False,0.07542423577128016
test_1m,all_heldout,dirichlet_sparse_064,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,111,23,True,0.059398185194195784
test_1m,all_heldout,dirichlet_sparse_065,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,40,222,False,0.5051142549493736
test_1m,all_heldout,dirichlet_sparse_065,interaction_candidate,256,135,OUT_OF_TRAINING_SUPPORT,40,137,False,0.3128002593653797
test_1m,all_heldout,dirichlet_sparse_066,ridge_v1.3,256,54,OUT_OF_TRAINING_SUPPORT,245,50,False,0.1723469014215888
test_1m,all_heldout,dirichlet_sparse_066,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,245,47,False,0.1645409129581041
test_1m,all_heldout,dirichlet_sparse_067,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,114,6,True,0.04353015603362785
test_1m,all_heldout,dirichlet_sparse_067,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,114,6,True,0.04353015603362785
test_1m,all_heldout,dirichlet_sparse_068,ridge_v1.3,256,185,OUT_OF_TRAINING_SUPPORT,194,6,True,0.033506465846203544
test_1m,all_heldout,dirichlet_sparse_068,interaction_candidate,256,189,OUT_OF_TRAINING_SUPPORT,194,24,True,0.10382702706979992
test_1m,all_heldout,dirichlet_sparse_069,ridge_v1.3,256,43,OUT_OF_TRAINING_SUPPORT,187,5,True,0.02512168574344773
test_1m,all_heldout,dirichlet_sparse_069,interaction_candidate,256,43,OUT_OF_TRAINING_SUPPORT,187,5,True,0.02512168574344773
test_1m,all_heldout,dirichlet_sparse_070,ridge_v1.3,256,73,OUT_OF_TRAINING_SUPPORT,81,6,True,0.05684209296358478
test_1m,all_heldout,dirichlet_sparse_070,interaction_candidate,256,73,OUT_OF_TRAINING_SUPPORT,81,6,True,0.05684209296358478
test_1m,all_heldout,dirichlet_sparse_071,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,240,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_071,interaction_candidate,256,49,OUT_OF_TRAINING_SUPPORT,240,36,False,0.15659916499470328
test_1m,all_heldout,dirichlet_sparse_072,ridge_v1.3,256,43,OUT_OF_TRAINING_SUPPORT,187,19,True,0.09638755487393447
test_1m,all_heldout,dirichlet_sparse_072,interaction_candidate,256,43,OUT_OF_TRAINING_SUPPORT,187,19,True,0.09638755487393447
test_1m,all_heldout,dirichlet_sparse_073,ridge_v1.3,256,192,OUT_OF_TRAINING_SUPPORT,28,2,True,0.0001404853281531282
test_1m,all_heldout,dirichlet_sparse_073,interaction_candidate,256,192,OUT_OF_TRAINING_SUPPORT,28,2,True,0.0001404853281531282
test_1m,all_heldout,dirichlet_sparse_074,ridge_v1.3,256,57,OUT_OF_TRAINING_SUPPORT,73,39,False,0.08255170576210896
test_1m,all_heldout,dirichlet_sparse_074,interaction_candidate,256,201,OUT_OF_TRAINING_SUPPORT,73,50,False,0.09334043708289837
test_1m,all_heldout,dirichlet_sparse_075,ridge_v1.3,256,8,OUT_OF_TRAINING_SUPPORT,40,33,False,0.13035512321259363
test_1m,all_heldout,dirichlet_sparse_075,interaction_candidate,256,8,OUT_OF_TRAINING_SUPPORT,40,33,False,0.13035512321259363
test_1m,all_heldout,dirichlet_sparse_076,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,154,139,False,0.2917119366811418
test_1m,all_heldout,dirichlet_sparse_076,interaction_candidate,256,20,OUT_OF_TRAINING_SUPPORT,154,43,False,0.12289829893888168
test_1m,all_heldout,dirichlet_sparse_077,ridge_v1.3,256,221,OUT_OF_TRAINING_SUPPORT,131,3,True,0.049006662454407296
test_1m,all_heldout,dirichlet_sparse_077,interaction_candidate,256,221,OUT_OF_TRAINING_SUPPORT,131,3,True,0.049006662454407296
test_1m,all_heldout,dirichlet_sparse_078,ridge_v1.3,256,93,OUT_OF_TRAINING_SUPPORT,199,48,False,0.1367163475341966
test_1m,all_heldout,dirichlet_sparse_078,interaction_candidate,256,223,OUT_OF_TRAINING_SUPPORT,199,36,False,0.11082739891005507
test_1m,all_heldout,dirichlet_sparse_079,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,239,2,True,0.00576616833253602
test_1m,all_heldout,dirichlet_sparse_079,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,239,2,True,0.00576616833253602
test_1m,all_heldout,dirichlet_sparse_080,ridge_v1.3,256,114,OUT_OF_TRAINING_SUPPORT,127,5,True,0.0320052032880942
test_1m,all_heldout,dirichlet_sparse_080,interaction_candidate,256,45,OUT_OF_TRAINING_SUPPORT,127,2,True,0.003872788395498699
test_1m,all_heldout,dirichlet_sparse_081,ridge_v1.3,256,23,OUT_OF_TRAINING_SUPPORT,143,8,True,0.058836371305946884
test_1m,all_heldout,dirichlet_sparse_081,interaction_candidate,256,23,OUT_OF_TRAINING_SUPPORT,143,8,True,0.058836371305946884
test_1m,all_heldout,dirichlet_sparse_082,ridge_v1.3,256,14,OUT_OF_TRAINING_SUPPORT,219,2,True,0.015134119189835713
test_1m,all_heldout,dirichlet_sparse_082,interaction_candidate,256,14,OUT_OF_TRAINING_SUPPORT,219,2,True,0.015134119189835713
test_1m,all_heldout,dirichlet_sparse_083,ridge_v1.3,256,43,OUT_OF_TRAINING_SUPPORT,187,4,True,0.024460128259399704
test_1m,all_heldout,dirichlet_sparse_083,interaction_candidate,256,43,OUT_OF_TRAINING_SUPPORT,187,4,True,0.024460128259399704
test_1m,all_heldout,dirichlet_sparse_084,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,58,114,False,0.3700025725723441
test_1m,all_heldout,dirichlet_sparse_084,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,58,114,False,0.3700025725723441
