weight_scenario,quality_score_scope,quality_policy,model,n_feasible_observed_recipes,selected_index,objective_relative,max_domain_share,unknown_QA_share
only_uspto_backgrounds,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,30,-0.17877413948337464,0.4215784215784216,0.4285714285714286
dirichlet_sparse_000,A1_sample_primary,unconstrained,ridge_v1.3,512,280,-0.1056051948469222,0.4759519038076152,0.5240480961923848
dirichlet_sparse_000,A1_sample_primary,unconstrained,interaction_candidate,512,280,-0.08362613708945209,0.4759519038076152,0.5240480961923848
dirichlet_sparse_000,A1_sample_primary,quality_direct,ridge_v1.3,91,91,-0.06597437755042145,0.45245245245245247,0.5795795795795796
dirichlet_sparse_000,A1_sample_primary,quality_direct,interaction_candidate,91,91,-0.05093514960884602,0.45245245245245247,0.5795795795795796
dirichlet_sparse_000,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,97,-0.0640628543888199,0.3413173652694611,0.3992015968063872
dirichlet_sparse_000,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,459,-0.05518819064191372,0.513,0.28700000000000003
dirichlet_sparse_000,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,280,-0.1056051948469222,0.4759519038076152,0.5240480961923848
dirichlet_sparse_000,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,280,-0.08362613708945209,0.4759519038076152,0.5240480961923848
dirichlet_sparse_000,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,91,-0.06597437755042145,0.45245245245245247,0.5795795795795796
dirichlet_sparse_000,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,91,-0.05093514960884602,0.45245245245245247,0.5795795795795796
dirichlet_sparse_000,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,97,-0.0640628543888199,0.3413173652694611,0.3992015968063872
dirichlet_sparse_000,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,459,-0.05518819064191372,0.513,0.28700000000000003
dirichlet_sparse_001,A1_sample_primary,unconstrained,ridge_v1.3,512,136,-0.5413164205229648,0.22522522522522523,0.5685685685685684
dirichlet_sparse_001,A1_sample_primary,unconstrained,interaction_candidate,512,136,-0.47513013026896794,0.22522522522522523,0.5685685685685684
dirichlet_sparse_001,A1_sample_primary,quality_direct,ridge_v1.3,91,318,-0.429298302895897,0.74,0.232
dirichlet_sparse_001,A1_sample_primary,quality_direct,interaction_candidate,91,318,-0.31818299730171806,0.74,0.232
dirichlet_sparse_001,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,68,-0.4489883396084992,0.445,0.33
dirichlet_sparse_001,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,68,-0.36850314550251667,0.445,0.33
dirichlet_sparse_001,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,136,-0.5413164205229648,0.22522522522522523,0.5685685685685684
dirichlet_sparse_001,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,136,-0.47513013026896794,0.22522522522522523,0.5685685685685684
dirichlet_sparse_001,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,318,-0.429298302895897,0.74,0.232
dirichlet_sparse_001,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,318,-0.31818299730171806,0.74,0.232
dirichlet_sparse_001,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,68,-0.4489883396084992,0.445,0.33
dirichlet_sparse_001,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,68,-0.36850314550251667,0.445,0.33
dirichlet_sparse_002,A1_sample_primary,unconstrained,ridge_v1.3,512,136,-0.4869675475761023,0.22522522522522523,0.5685685685685684
dirichlet_sparse_002,A1_sample_primary,unconstrained,interaction_candidate,512,136,-0.43154931826406545,0.22522522522522523,0.5685685685685684
dirichlet_sparse_002,A1_sample_primary,quality_direct,ridge_v1.3,91,318,-0.2866951773405973,0.74,0.232
dirichlet_sparse_002,A1_sample_primary,quality_direct,interaction_candidate,91,250,-0.20278495166970037,0.6793206793206793,0.3146853146853147
dirichlet_sparse_002,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,68,-0.38061377647406985,0.445,0.33
dirichlet_sparse_002,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,68,-0.30740243480861673,0.445,0.33
dirichlet_sparse_002,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,136,-0.4869675475761023,0.22522522522522523,0.5685685685685684
dirichlet_sparse_002,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,136,-0.43154931826406545,0.22522522522522523,0.5685685685685684
dirichlet_sparse_002,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,318,-0.2866951773405973,0.74,0.232
dirichlet_sparse_002,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,250,-0.20278495166970037,0.6793206793206793,0.3146853146853147
dirichlet_sparse_002,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,68,-0.38061377647406985,0.445,0.33
dirichlet_sparse_002,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,68,-0.30740243480861673,0.445,0.33
dirichlet_sparse_003,A1_sample_primary,unconstrained,ridge_v1.3,512,136,-0.7677957968763842,0.22522522522522523,0.5685685685685684
dirichlet_sparse_003,A1_sample_primary,unconstrained,interaction_candidate,512,136,-0.7039471310711441,0.22522522522522523,0.5685685685685684
dirichlet_sparse_003,A1_sample_primary,quality_direct,ridge_v1.3,91,318,-0.5029746835484263,0.74,0.232
