grid_id,w_rps,w_dsir,w_model,quality_domain,Q_raw_median,rank_high_is_good
38,0.05,0.85,0.1,commoncrawl,0.3824024698964441,3.0
38,0.05,0.85,0.1,github,-0.06863862312109256,5.0
38,0.05,0.85,0.1,stackexchange,0.008287559974171877,4.0
38,0.05,0.85,0.1,wikipedia,-0.404338207067777,6.0
39,0.05,0.9,0.05,arxiv,2.799055077870113,2.0
39,0.05,0.9,0.05,book,3.560375874520816,1.0
39,0.05,0.9,0.05,c4,-0.46574199070704275,7.0
39,0.05,0.9,0.05,commoncrawl,0.4127740630926896,3.0
39,0.05,0.9,0.05,github,-0.03682800920400113,5.0
39,0.05,0.9,0.05,stackexchange,-0.009509624762053893,4.0
39,0.05,0.9,0.05,wikipedia,-0.40563236265756447,6.0
40,0.05,0.95,0.0,arxiv,2.8689598608804063,2.0
40,0.05,0.95,0.0,book,3.746730183086003,1.0
40,0.05,0.95,0.0,c4,-0.4671052692661162,7.0
40,0.05,0.95,0.0,commoncrawl,0.4399796505492559,3.0
40,0.05,0.95,0.0,github,-0.0031050676972654637,4.0
40,0.05,0.95,0.0,stackexchange,-0.0253664445504143,5.0
40,0.05,0.95,0.0,wikipedia,-0.4127920854535878,6.0
41,0.1,0.0,0.9,arxiv,1.5134155653205679,1.0
41,0.1,0.0,0.9,book,0.2631645434386658,2.0
41,0.1,0.0,0.9,c4,-0.366731390069735,5.0
41,0.1,0.0,0.9,commoncrawl,-0.039516556885006104,4.0
41,0.1,0.0,0.9,github,-0.6858183918983113,7.0
41,0.1,0.0,0.9,stackexchange,0.23906668196353023,3.0
41,0.1,0.0,0.9,wikipedia,-0.3708137368208849,6.0
42,0.1,0.05,0.85,arxiv,1.5847667024115157,1.0
42,0.1,0.05,0.85,book,0.4109255869153473,2.0
42,0.1,0.05,0.85,c4,-0.36754684256053616,5.0
42,0.1,0.05,0.85,commoncrawl,-0.020303725108643558,4.0
42,0.1,0.05,0.85,github,-0.6552975416155312,7.0
42,0.1,0.05,0.85,stackexchange,0.22083522398954752,3.0
42,0.1,0.05,0.85,wikipedia,-0.3862373321904559,6.0
43,0.1,0.1,0.8,arxiv,1.6576015214055237,1.0
43,0.1,0.1,0.8,book,0.609287073851002,2.0
43,0.1,0.1,0.8,c4,-0.3733330620138118,5.0
43,0.1,0.1,0.8,commoncrawl,0.0013791564318227031,4.0
43,0.1,0.1,0.8,github,-0.6195257199023976,7.0
43,0.1,0.1,0.8,stackexchange,0.20127370355822885,3.0
43,0.1,0.1,0.8,wikipedia,-0.3981213811173525,6.0
44,0.1,0.15,0.75,arxiv,1.7222343872092953,1.0
44,0.1,0.15,0.75,book,0.7987275272745618,2.0
44,0.1,0.15,0.75,c4,-0.3761358127247597,5.0
44,0.1,0.15,0.75,commoncrawl,0.0217663306416973,4.0
44,0.1,0.15,0.75,github,-0.5795056921943927,7.0
44,0.1,0.15,0.75,stackexchange,0.183906990079379,3.0
44,0.1,0.15,0.75,wikipedia,-0.3987065185930501,6.0
45,0.1,0.2,0.7,arxiv,1.7951989243367443,1.0
45,0.1,0.2,0.7,book,0.9977644217135004,2.0
45,0.1,0.2,0.7,c4,-0.3840132033321999,5.0
45,0.1,0.2,0.7,commoncrawl,0.044226582813654436,4.0
45,0.1,0.2,0.7,github,-0.5429000647049673,7.0
45,0.1,0.2,0.7,stackexchange,0.16543408864961334,3.0
45,0.1,0.2,0.7,wikipedia,-0.40315142275793336,6.0
46,0.1,0.25,0.65,arxiv,1.8590139080005414,1.0
46,0.1,0.25,0.65,book,1.171576000049464,2.0
46,0.1,0.25,0.65,c4,-0.38800413023836144,5.0
46,0.1,0.25,0.65,commoncrawl,0.06873605795924885,4.0
46,0.1,0.25,0.65,github,-0.5073080897017623,7.0
46,0.1,0.25,0.65,stackexchange,0.14873369126014838,3.0
46,0.1,0.25,0.65,wikipedia,-0.40562646686824194,6.0
47,0.1,0.3,0.6,arxiv,1.9268070410645821,1.0
47,0.1,0.3,0.6,book,1.3545759217543645,2.0
47,0.1,0.3,0.6,c4,-0.39248962700120776,5.0
47,0.1,0.3,0.6,commoncrawl,0.09362868467008996,4.0
47,0.1,0.3,0.6,github,-0.4705300752396146,7.0
47,0.1,0.3,0.6,stackexchange,0.13406375540982007,3.0
47,0.1,0.3,0.6,wikipedia,-0.4046408911920639,6.0
48,0.1,0.35,0.55,arxiv,1.9970364431864434,1.0
48,0.1,0.35,0.55,book,1.5462046741571325,2.0
48,0.1,0.35,0.55,c4,-0.39917912414360845,5.0
48,0.1,0.35,0.55,commoncrawl,0.11911989247819478,4.0
48,0.1,0.35,0.55,github,-0.43108612391883705,7.0
48,0.1,0.35,0.55,stackexchange,0.12119731870003699,3.0
48,0.1,0.35,0.55,wikipedia,-0.4050602647497094,6.0
49,0.1,0.4,0.5,arxiv,2.070024721453641,1.0
49,0.1,0.4,0.5,book,1.7572853462226983,2.0
49,0.1,0.4,0.5,c4,-0.40439922297965597,7.0
49,0.1,0.4,0.5,commoncrawl,0.14594112023298045,3.0
49,0.1,0.4,0.5,github,-0.39219207342748225,5.0
49,0.1,0.4,0.5,stackexchange,0.10746140883497693,4.0
49,0.1,0.4,0.5,wikipedia,-0.40404805170211305,6.0
50,0.1,0.45,0.45,arxiv,2.132006309946213,1.0
50,0.1,0.45,0.45,book,1.9628734203162943,2.0
50,0.1,0.45,0.45,c4,-0.4125688967937696,7.0
50,0.1,0.45,0.45,commoncrawl,0.1753384208431759,3.0
50,0.1,0.45,0.45,github,-0.35186056269360433,5.0
50,0.1,0.45,0.45,stackexchange,0.09784460090375388,4.0
50,0.1,0.45,0.45,wikipedia,-0.40036837778880596,6.0
51,0.1,0.5,0.4,arxiv,2.202857190299063,1.0
51,0.1,0.5,0.4,book,2.1466290507504158,2.0
51,0.1,0.5,0.4,c4,-0.41849931218950354,7.0
51,0.1,0.5,0.4,commoncrawl,0.20963892901344486,3.0
51,0.1,0.5,0.4,github,-0.31227405087873517,5.0
51,0.1,0.5,0.4,stackexchange,0.08580701823945687,4.0
51,0.1,0.5,0.4,wikipedia,-0.40058134681544955,6.0
52,0.1,0.55,0.35,arxiv,2.2740738746874682,2.0
52,0.1,0.55,0.35,book,2.3411387472654206,1.0
52,0.1,0.55,0.35,c4,-0.41530206352683124,7.0
52,0.1,0.55,0.35,commoncrawl,0.23423310072444187,3.0
52,0.1,0.55,0.35,github,-0.27713849598551016,5.0
52,0.1,0.55,0.35,stackexchange,0.0729571815306298,4.0
52,0.1,0.55,0.35,wikipedia,-0.40622920832516823,6.0
53,0.1,0.6,0.3,arxiv,2.3393505759369324,2.0
53,0.1,0.6,0.3,book,2.524542641929334,1.0
53,0.1,0.6,0.3,c4,-0.41745892664714745,7.0
53,0.1,0.6,0.3,commoncrawl,0.2612094581140557,3.0
53,0.1,0.6,0.3,github,-0.2457853096990117,5.0
53,0.1,0.6,0.3,stackexchange,0.060915724252957944,4.0
53,0.1,0.6,0.3,wikipedia,-0.4061948457673024,6.0
54,0.1,0.65,0.25,arxiv,2.4090441122330413,2.0
54,0.1,0.65,0.25,book,2.7354138553668714,1.0
54,0.1,0.65,0.25,c4,-0.4181776882139582,7.0
54,0.1,0.65,0.25,commoncrawl,0.2937099558651908,3.0
54,0.1,0.65,0.25,github,-0.21696095128246976,5.0
54,0.1,0.65,0.25,stackexchange,0.04594513961043056,4.0
54,0.1,0.65,0.25,wikipedia,-0.40407250372407477,6.0
55,0.1,0.7,0.2,arxiv,2.4783087353969804,2.0
55,0.1,0.7,0.2,book,2.906236566282291,1.0
55,0.1,0.7,0.2,c4,-0.4202175294976477,7.0
55,0.1,0.7,0.2,commoncrawl,0.3216261488789044,3.0
55,0.1,0.7,0.2,github,-0.1836581219634598,5.0
55,0.1,0.7,0.2,stackexchange,0.031577700967337655,4.0
55,0.1,0.7,0.2,wikipedia,-0.40354765574187706,6.0
56,0.1,0.75,0.15,arxiv,2.5474511205483026,2.0
56,0.1,0.75,0.15,book,3.096949658006984,1.0
56,0.1,0.75,0.15,c4,-0.42586788505697876,7.0
56,0.1,0.75,0.15,commoncrawl,0.3499195007577717,3.0
56,0.1,0.75,0.15,github,-0.1460476288920311,5.0
56,0.1,0.75,0.15,stackexchange,0.015535067005976733,4.0
56,0.1,0.75,0.15,wikipedia,-0.39776439149093457,6.0
57,0.1,0.8,0.1,arxiv,2.6257834983064483,2.0
57,0.1,0.8,0.1,book,3.282344336891912,1.0
57,0.1,0.8,0.1,c4,-0.4325887228849993,7.0
57,0.1,0.8,0.1,commoncrawl,0.38103263959023337,3.0
57,0.1,0.8,0.1,github,-0.10968402906688576,5.0
57,0.1,0.8,0.1,stackexchange,-0.0008366014861768689,4.0
57,0.1,0.8,0.1,wikipedia,-0.40360546054004787,6.0
58,0.1,0.85,0.05,arxiv,2.6926860250396216,2.0
58,0.1,0.85,0.05,book,3.4568103949364306,1.0
58,0.1,0.85,0.05,c4,-0.4351126553669979,7.0
58,0.1,0.85,0.05,commoncrawl,0.4116774082190642,3.0
58,0.1,0.85,0.05,github,-0.08158893954597926,5.0
58,0.1,0.85,0.05,stackexchange,-0.018075483711937512,4.0
58,0.1,0.85,0.05,wikipedia,-0.40290029832805574,6.0
59,0.1,0.9,0.0,arxiv,2.7662360858670403,2.0
59,0.1,0.9,0.0,book,3.639346087276854,1.0
59,0.1,0.9,0.0,c4,-0.43746787716249724,7.0
59,0.1,0.9,0.0,commoncrawl,0.43778967062875057,3.0
59,0.1,0.9,0.0,github,-0.048769707083212904,5.0
59,0.1,0.9,0.0,stackexchange,-0.036223920117193456,4.0
59,0.1,0.9,0.0,wikipedia,-0.4082298058339465,6.0
60,0.15,0.0,0.85,arxiv,1.4713698098758083,1.0
60,0.15,0.0,0.85,book,0.311670687688845,2.0
60,0.15,0.0,0.85,c4,-0.3377878936339075,5.0
60,0.15,0.0,0.85,commoncrawl,-0.019104551135102482,4.0
60,0.15,0.0,0.85,github,-0.6981698444181159,7.0
60,0.15,0.0,0.85,stackexchange,0.21039575300667276,3.0
60,0.15,0.0,0.85,wikipedia,-0.3767905193835397,6.0
61,0.15,0.05,0.8,arxiv,1.5470773974087961,1.0
61,0.15,0.05,0.8,book,0.48854310384310157,2.0
61,0.15,0.05,0.8,c4,-0.3424079588069724,5.0
61,0.15,0.05,0.8,commoncrawl,0.0022369290436966126,4.0
61,0.15,0.05,0.8,github,-0.665277559597925,7.0
61,0.15,0.05,0.8,stackexchange,0.19241396642291403,3.0
61,0.15,0.05,0.8,wikipedia,-0.388327534984034,6.0
