observed,predicted,residual
2.5454,2.5452431165470104,-0.0001568834529894758
2.5422,2.5422074157552728,7.415755272965896e-06
2.5393,2.5392807369256274,-1.9263074372499744e-05
2.5363,2.5364549721503025,0.0001549721503022461
2.5337,2.533726619731691,2.6619731690935566e-05
2.531,2.5310886417801712,8.864178017109481e-05
2.5286,2.5285358401106284,-6.415988937158446e-05
2.5259,2.5260634361018077,0.0001634361018076902
2.5237,2.5236670275667885,-3.297243321132015e-05
2.5215,2.5213414590377514,-0.00015854096224865444
2.5191,2.5190851879172214,-1.4812082778536961e-05
2.5169,2.516893607054503,-6.392945496980218e-06
2.5148,2.514763484843222,-3.6515156778271773e-05
2.5126,2.5126918169470005,9.181694700055587e-05
2.5107,2.5106758058803513,-2.4194119648601742e-05
2.5087,2.508712842806294,1.2842806293988929e-05
2.5068,2.5067995910288032,-4.089711969079701e-07
2.5048,2.5049355949170278,0.0001355949170278592
2.5031,2.5031177968059652,1.779680596536437e-05
2.5014,2.5013441958104243,-5.5804189575514584e-05
2.4998,2.4996129133948157,-0.00018708660518429454
2.498,2.4979221837892385,-7.781621076174972e-05
2.4965,2.4962695666248162,-0.00023043337518391382
2.4946,2.4946550712695603,5.507126956016961e-05
2.4932,2.493076424536077,-0.00012357546392305352
2.4916,2.4915322326681015,-6.776733189850503e-05
2.4903,2.490021178559025,-0.00027882144097501893
2.4884,2.488542016341951,0.00014201634195121215
2.487,2.4870935664431766,9.356644317648488e-05
2.4856,2.48567404132952,7.404132952038012e-05
2.484,2.4842837336099524,0.0002837336099523746
2.4829,2.482920953325884,2.0953325884143226e-05
2.4815,2.4815847443834294,8.474438342931379e-05
2.4803,2.480274197745264,-2.580225473636233e-05
2.479,2.478988448453134,-1.1551546866161999e-05
2.478,2.477726672879405,-0.00027332712059502384
2.4766,2.4764875009512766,-0.00011249904872334682
2.4752,2.475271365271657,7.136527165707562e-05
2.474,2.47407695561047,7.695561046983102e-05
2.473,2.4729035900937792,-9.640990622061807e-05
2.4716,2.4717506172173374,0.00015061721733733435
2.4708,2.470617414105192,-0.00018258589480790732
2.4696,2.4695028581230347,-9.714187696507892e-05
2.4683,2.4684074411765313,0.00010744117653116447
2.4671,2.467330081231831,0.00023008123183121398
2.4664,2.466270254809986,-0.00012974519001396345
2.4652,2.465227459990355,2.745999035536073e-05
2.4644,2.464201215266437,-0.00019878473356271797
2.463,2.463191058475706,0.00019105847570610734
2.4621,2.4621960752062346,9.607520623466925e-05
2.4612,2.4612167873822797,1.6787382279837004e-05
2.4603,2.4602523071696596,-4.7692830340562153e-05
2.4592,2.4593022403804117,0.00010224038041162231
2.4584,2.458366207748634,-3.3792251366016046e-05
2.4573,2.457443844201792,0.0001438442017920316
2.4565,2.456534367799593,3.4367799592871506e-05
2.4557,2.4556383067027827,-6.169329721750216e-05
2.4548,2.4547548978267426,-4.5102173257483e-05
2.454,2.4538838264147853,-0.00011617358521487375
2.4529,2.453024788853635,0.0001247888536348718
2.452,2.452177492164127,0.00017749216412710211
2.4515,2.45134165352032,-0.0001583464796799383
2.4506,2.450516609166936,-8.33908330641897e-05
2.4496,2.449702881649133,0.00010288164913285769
2.4491,2.4488998200780885,-0.00020017992191156964
2.4481,2.448107177941644,7.177941643732311e-06
2.4475,2.447324716841824,-0.0001752831581756098
2.4466,2.4465522061497773,-4.779385022279925e-05
2.446,2.4457890612145574,-0.00021093878544276023
2.4452,2.4450357933943323,-0.00016420660566751621
2.4443,2.444291827423685,-8.17257631524626e-06
2.4437,2.443556960645249,-0.0001430393547510178
2.4429,2.4428309966934254,-6.900330657444442e-05
2.4423,2.442113745241878,-0.00018625475812195091
2.4413,2.441405021763417,0.0001050217634168682
2.4408,2.4407043152766046,-9.56847233952729e-05
2.4401,2.4400121200861227,-8.787991387748662e-05
2.4391,2.439327931772786,0.00022793177278623844
2.4385,2.4386515868307432,0.00015158683074334434
2.4377,2.4379829265149207,0.00028292651492067833
2.4373,2.4373217966617355,2.1796661735518086e-05
2.4368,2.4366680475180584,-0.00013195248194142195
2.4362,2.4360212269770734,-0.0001787730229265705
2.4354,2.4353818101758273,-1.818982417267634e-05
2.4349,2.43474934962708,-0.00015065037292005812
2.434,2.434123711660977,0.00012371166097668862
2.4333,2.4335047662719878,0.000204766271987733
2.4329,2.432892386988912,-7.613011088203336e-06
2.4323,2.4322861633144783,-1.3836685521795289e-05
2.4317,2.4316865533378866,-1.3446662113558716e-05
2.4309,2.431093149987733,0.0001931499877332321
2.4305,2.430505839740275,5.839740274904415e-06
2.4298,2.4299245120351984,0.00012451203519825427
2.4294,2.4293490591754705,-5.0940824529277506e-05
2.4288,2.428779376231337,-2.0623768662630937e-05
2.4281,2.4282150933213833,0.00011509332138315287
2.4276,2.427656648663566,5.664866356580589e-05
2.427,2.4271036747879293,0.00010367478792927542
2.4266,2.4265560769509356,-4.392304906453148e-05
2.4261,2.426013762751709,-8.623724829082136e-05
2.4254,2.4254766420570193,7.664205701951587e-05
2.425,2.4249443744304267,-5.562556957317e-05
2.4244,2.4244173814317374,1.7381431737462094e-05
2.4238,2.423895324397398,9.532439739823317e-05
2.4234,2.4233781215723127,-2.187842768730519e-05
2.4228,2.4228656931354027,6.569313540261135e-05
2.4223,2.4223579611403347,5.7961140334850114e-05
2.4217,2.4218548494584713,0.00015484945847132892
2.4216,2.4213560470448603,-0.00024395295513990334
2.4209,2.4208619567178262,-3.8043282173827464e-05
4.2153,4.215899700425907,0.0005997004259068461
3.8315,3.8320120114103133,0.0005120114103132067
3.5146,3.5150517434634825,0.00045174346348231254
3.2545,3.254756904233165,0.00025690423316504507
3.0476,3.0471218362685697,-0.00047816373143039215
2.8697,2.86934530954163,-0.0003546904583697774
2.7802,2.780264680769265,6.46807692650242e-05
2.723,2.7228964264889624,-0.00010357351103751355
2.6816,2.6814948089799033,-0.00010519102009665104
2.6501,2.6495341900959177,-0.0005658099040823927
2.6239,2.6237551564051875,-0.00014484359481237163
2.6023,2.602305667156565,5.667156564914677e-06
2.5839,2.584039789360916,0.00013978936091607608
2.5679,2.568195728198558,0.00029572819855827603
2.5543,2.554266967841694,-3.303215830596784e-05
2.5417,2.5418712875034815,0.00017128750348138766
2.5305,2.530731806494941,0.00023180649494092265
2.5205,2.5206383243361743,0.00013832433617411155
