scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative,n_domain_negative,n_domain_significant_negative,n_domain_valid,arxiv_rho,arxiv_q,arxiv_replicated,github_rho,github_q,github_replicated,replicated,stable_conflict,cause_pattern
A1_pooled,modernbert_professionalism,dsir_math,51225,0.43571482183007904,0.0,0.0,False,1,0,7,0.45535829313312604,0.0,False,0.7639258088737184,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,qurater,51225,0.2299945517716901,0.0,0.0,False,0,0,7,0.11697257983495589,6.94035881189884e-50,False,0.27012789081685057,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,ad_en,51225,0.1661534145089656,0.0,0.0,False,4,4,7,0.395874264898122,0.0,False,-0.12696417390184117,0.0,True,True,False,multi_domain
A1_pooled,modernbert_professionalism,rps_doc_word_count,51225,0.20641451893364365,0.0,0.0,False,0,0,7,0.14433593521020138,2.251026090023781e-75,False,0.7544010315420534,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,rps_doc_num_sentences,51225,0.4352372463503578,0.0,0.0,False,0,0,7,0.03747237381631354,2.393617650654899e-06,False,0.6813926814213674,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,rps_doc_unigram_entropy,51225,0.12682882340413415,1.1758373527473769e-182,1.6663707268996567e-182,False,0,0,7,0.11776856108825343,1.5123442822993323e-50,False,0.6904845067959969,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,rps_doc_frac_unique_words,51225,0.3243693647466494,0.0,0.0,False,0,0,7,0.15299958074462597,1.3702911434820351e-84,False,0.6739391433263127,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,rps_doc_frac_no_alph_words,51225,-0.48434832579038756,0.0,0.0,True,3,3,7,-0.5201581089132398,0.0,True,-0.1574560200919345,0.0,True,True,True,domain_specific
A1_pooled,modernbert_professionalism,rps_doc_frac_chars_top_2gram,51225,0.15526417730104528,8.525341194570422e-274,1.3042078251296473e-273,False,2,2,7,0.12048936849231183,7.680821011739074e-53,False,-0.06053448613004382,1.1701044387487858e-156,True,True,False,domain_specific
A1_pooled,modernbert_professionalism,rps_doc_frac_chars_top_3gram,51225,-0.00877589002361385,0.04700759687803227,0.04847658428047078,True,3,3,7,0.020385310668753348,0.010599388963866991,False,0.24556378618301233,0.0,False,False,False,domain_specific
