scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative
A1_pooled,qurater,rps_doc_unigram_entropy,51230,0.38211953390075065,0.0,0.0,False
A1_pooled,qurater,rps_doc_frac_unique_words,51230,0.31130887346290226,0.0,0.0,False
A1_pooled,qurater,rps_doc_frac_no_alph_words,51230,0.30935341097262986,0.0,0.0,False
A1_pooled,qurater,rps_doc_frac_chars_top_2gram,51230,0.16240339809615753,1.0075560405055602e-299,1.5833023493658802e-299,False
A1_pooled,qurater,rps_doc_frac_chars_top_3gram,51230,-0.04224875505367763,1.1043623397166039e-21,1.2819482435906308e-21,True
A1_pooled,qurater,rps_lines_uppercase_letter_fraction,51230,-0.13464353784549077,7.963881190605276e-206,1.149785346893637e-205,True
A1_pooled,qurater,rps_lines_ending_with_terminal_punctution_mark,51230,0.17331391584962247,0.0,0.0,False
A1_pooled,qurater,rps_lines_numerical_chars_fraction,51230,-0.009537075024148122,0.030879482581545197,0.032131353497013244,True
A1_pooled,qurater,rps_doc_mean_word_length,51230,0.17047052280433075,0.0,0.0,False
A1_pooled,ad_en,rps_doc_word_count,51230,-0.20718998218067874,0.0,0.0,True
A1_pooled,ad_en,rps_doc_num_sentences,51230,-0.15919883236162188,6.034059128724378e-288,9.354816501579405e-288,True
A1_pooled,ad_en,rps_doc_unigram_entropy,51230,-0.2340040976909527,0.0,0.0,True
A1_pooled,ad_en,rps_doc_frac_unique_words,51230,-0.09246854776284426,1.1378144683876954e-97,1.4683527497070258e-97,True
A1_pooled,ad_en,rps_doc_frac_no_alph_words,51230,-0.2086191533971545,0.0,0.0,True
A1_pooled,ad_en,rps_doc_frac_chars_top_2gram,51230,-0.0919202067538101,1.5595924364084381e-96,2.0014769600574956e-96,True
A1_pooled,ad_en,rps_doc_frac_chars_top_3gram,51230,0.008365062476522243,0.05831280956340214,0.05986781781842619,False
A1_pooled,ad_en,rps_lines_uppercase_letter_fraction,51230,0.31144255068103593,0.0,0.0,False
A1_pooled,ad_en,rps_lines_ending_with_terminal_punctution_mark,51230,-0.17726495706674322,0.0,0.0,True
A1_pooled,ad_en,rps_lines_numerical_chars_fraction,51230,0.105862066925512,1.4239401099178082e-127,1.9123846825058934e-127,False
A1_pooled,ad_en,rps_doc_mean_word_length,51230,-0.03742204476099562,2.3939211395057574e-17,2.76497891612915e-17,True
A1_pooled,rps_doc_word_count,rps_doc_num_sentences,51230,0.828590382750885,0.0,0.0,False
A1_pooled,rps_doc_word_count,rps_doc_unigram_entropy,51230,0.9505601770201423,0.0,0.0,False
A1_pooled,rps_doc_word_count,rps_doc_frac_unique_words,51230,0.826587978972071,0.0,0.0,False
A1_pooled,rps_doc_word_count,rps_doc_frac_no_alph_words,51230,0.13259900995397175,1.2481042345472006e-199,1.7907582495677224e-199,False
A1_pooled,rps_doc_word_count,rps_doc_frac_chars_top_2gram,51230,0.3255540493625677,0.0,0.0,False
A1_pooled,rps_doc_word_count,rps_doc_frac_chars_top_3gram,51230,-0.016933652539313487,0.0001266147490367451,0.00013731458698351229,True
A1_pooled,rps_doc_word_count,rps_lines_uppercase_letter_fraction,51230,-0.24663500594637372,0.0,0.0,True
A1_pooled,rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,51230,0.034482744334721746,5.8578726798617105e-15,6.698854401227996e-15,False
A1_pooled,rps_doc_word_count,rps_lines_numerical_chars_fraction,51230,0.22717448655332043,0.0,0.0,False
A1_pooled,rps_doc_word_count,rps_doc_mean_word_length,51230,0.2556021075567521,0.0,0.0,False
A1_pooled,rps_doc_num_sentences,rps_doc_unigram_entropy,51230,0.7771970182715512,0.0,0.0,False
A1_pooled,rps_doc_num_sentences,rps_doc_frac_unique_words,51230,0.7215819574759424,0.0,0.0,False
A1_pooled,rps_doc_num_sentences,rps_doc_frac_no_alph_words,51230,-0.12220859266634768,1.1745118187109759e-169,1.6344110248327437e-169,True
A1_pooled,rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,51230,0.3429252378435394,0.0,0.0,False
A1_pooled,rps_doc_num_sentences,rps_doc_frac_chars_top_3gram,51230,-0.04437166693750955,9.393491625774657e-24,1.1014703378446425e-23,True
A1_pooled,rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,51230,-0.15191340033486384,4.3659625308545793e-262,6.54894379628187e-262,True
A1_pooled,rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,51230,-0.15208758048388485,1.0879905569377357e-262,1.6426524094942285e-262,True
A1_pooled,rps_doc_num_sentences,rps_lines_numerical_chars_fraction,51230,0.18979600323767898,0.0,0.0,False
A1_pooled,rps_doc_num_sentences,rps_doc_mean_word_length,51230,-0.028675933284840822,8.487303489895179e-11,9.657966040225548e-11,True
A1_pooled,rps_doc_unigram_entropy,rps_doc_frac_unique_words,51230,0.6480059904166724,0.0,0.0,False
A1_pooled,rps_doc_unigram_entropy,rps_doc_frac_no_alph_words,51230,0.17342318885304742,0.0,0.0,False
A1_pooled,rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,51230,0.3946599284924358,0.0,0.0,False
A1_pooled,rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,51230,-0.10993681803832546,1.7387284534210127e-137,2.3766051641435143e-137,True
A1_pooled,rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,51230,-0.24551065386705953,0.0,0.0,True
A1_pooled,rps_doc_unigram_entropy,rps_lines_ending_with_terminal_punctution_mark,51230,0.09330434504572307,2.0414532469244137e-99,2.649301685615391e-99,False
A1_pooled,rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,51230,0.24242217459855214,0.0,0.0,False
A1_pooled,rps_doc_unigram_entropy,rps_doc_mean_word_length,51230,0.26576376750159497,0.0,0.0,False
A1_pooled,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,51230,-0.008924812468023683,0.04337954761776492,0.044935764572662316,True
A1_pooled,rps_doc_frac_unique_words,rps_doc_frac_chars_top_2gram,51230,0.1060056285678494,6.467198225416851e-128,8.736390585212238e-128,False
A1_pooled,rps_doc_frac_unique_words,rps_doc_frac_chars_top_3gram,51230,0.19138974497048666,0.0,0.0,False
A1_pooled,rps_doc_frac_unique_words,rps_lines_uppercase_letter_fraction,51230,-0.15520898586457274,1.2579762404963165e-273,1.911792839175323e-273,True
