budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,B_native_loss,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind
1.4330125702369628e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.18782863703798344,10.0,0.6268517657114092,3.159920369315968,1.1269718222279006e+19,2.2910613827830428e+18,7.693460973075802e+17,1.433012570236963e+19,2048.0,1.0000000000000002,D_min;budget,True,1.7272820840293465e-06,3.1599193694149545,3.159920369315968,9.999010135430808e-07,floating_point_B7_reduction
1.4855080171727751e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.19349559548232392,10.0,0.6330057169639208,3.149829774037831,1.1609735728939436e+19,2.4527864836927186e+18,7.925579590955987e+17,1.4855080171727753e+19,2048.0,1.0000000000000002,D_min;budget,True,8.593697633939715e-07,3.1498287760522685,3.149829774037831,9.97985562634085e-07,floating_point_B7_reduction
1.539926526059492e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.19935667623587777,10.0,0.6391850507716266,3.139784843438337,1.1961400574152665e+19,2.6212997405800975e+18,8.165649458621554e+17,1.539926526059492e+19,0.0,1.0,D_min;budget,True,1.2532814034970204e-06,3.1397838443708546,3.139784843438337,9.990674825210988e-07,floating_point_B7_reduction
1.5963385442879422e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.20541797561684155,10.0,0.6453899413073573,3.129787149347533,1.2325078537010493e+19,2.796914877742347e+18,8.41392028126583e+17,1.5963385442879422e+19,0.0,1.0,D_min;budget,True,7.247699804392867e-07,3.1297861515855603,3.129787149347533,9.977619725987097e-07,floating_point_B7_reduction
1.6548170999431815e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.21168654451435023,10.000000000000002,0.6516188544371242,3.119838196039945,1.2701192670861017e+19,2.979910242240021e+18,8.670680863307788e+17,1.6548170999431817e+19,2048.0,1.0000000000000002,D_min;budget,True,1.5353804584259701e-06,3.119837196366939,3.119838196039945,9.99673005708246e-07,floating_point_B7_reduction
1.715437896342879e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.21816945575838306,10.0,0.6578707889893478,3.1099394213034612,1.3090167345502984e+19,3.170589527139469e+18,8.93622090786337e+17,1.715437896342879e+19,0.0,1.0,D_min;budget,True,2.1681573204418786e-07,3.1099384230508864,3.1099394213034612,9.98252574824221e-07,floating_point_B7_reduction
1.7782794100389229e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.22487312599545864,10.0,0.6641465534208386,3.100092197585397,1.3492387559727518e+19,3.36932621658431e+18,9.210803240773985e+17,1.7782794100389224e+19,-4096.0,0.9999999999999998,D_min;budget,True,1.5931232284003332e-06,3.1000911980257033,3.100092197585397,9.995596936818174e-07,floating_point_B7_reduction
1.8434229924091105e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.23180584416103847,10.0,0.6704436147088891,3.0902978331947466,1.3908350649662308e+19,3.5764025367451827e+18,9.494767376836136e+17,1.8434229924091105e+19,0.0,1.0,D_min;budget,True,9.726808245488879e-07,3.0902968338255206,3.0902978331947466,9.993692260401588e-07,floating_point_B7_reduction
1.9109529749704405e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.23897394893010382,10.000000000000002,0.6767637533368809,3.0805575735688224,1.433843693580623e+19,3.7922555190804695e+18,9.788372948177055e+17,1.9109529749704405e+19,0.0,1.0,D_min;budget,True,2.1928044491916128e-06,3.080556574055172,3.0805575735688224,9.995136505125402e-07,floating_point_B7_reduction
1.9809567785503388e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.2463865919382502,10.0,0.6831038571420949,3.070872602579649,1.4783195516295012e+19,4.017172788629304e+18,1.0091994805790728e+18,1.9809567785503388e+19,0.0,1.0,D_min;budget,True,5.625378688695607e-07,3.0708716031341448,3.070872602579649,9.994455041351102e-07,floating_point_B7_reduction
2.053525026457146e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.25405084728578353,10.0,0.6894651620910032,3.0612440438936517,1.5243050837147013e+19,4.2516071569418793e+18,1.0405922704825692e+18,2.053525026457146e+19,0.0,1.0,D_min;budget,True,1.851040346690644e-06,3.0612430443460723,3.0612440438936517,9.99547579372262e-07,floating_point_B7_reduction
2.1287516617963725e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.26197620805812594,10.0,0.6958451029469513,3.0516729623545484,1.5718572483487558e+19,4.495889586270085e+18,1.0730545482060838e+18,2.1287516617963725e+19,0.0,1.0,D_min;budget,True,2.3377894589132895e-06,3.051671962432661,3.0516729623545484,9.999218875123006e-07,floating_point_B7_reduction
2.2067340690845897e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.27016978484456156,10.0,0.7022456054776174,3.042160365405634,1.6210187090673693e+19,4.750538161448877e+18,1.1066154387233242e+18,2.2067340690845893e+19,-4096.0,0.9999999999999998,D_min;budget,True,1.4613318660595596e-06,3.042159368945264,3.042160365405634,9.96460370217278e-07,floating_point_B7_reduction
2.2875732003183956e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.2786413409057732,9.999999999999998,0.7086646252791857,3.032707204533711,1.6718480454346387e+19,5.015936616487519e+18,1.1413149323500468e+18,2.287573200318395e+19,-4096.0,0.9999999999999998,D_min;budget,True,1.8485840331051242e-06,3.0327062050180906,3.032707204533711,9.99515620492275e-07,floating_point_B7_reduction
2.3713737056616554e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.28739995895992054,9.999999999999998,0.7151017538014983,3.0233143767276096,1.724399753759523e+19,5.292549287121489e+18,1.1771902318998344e+18,2.3713737056616554e+19,0.0,1.0,D_min;budget,True,2.969210758065417e-06,3.0233133773231295,3.0233143767276096,9.994044800620827e-07,floating_point_B7_reduction
2.4582440689201975e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.29645375832063314,10.0,0.721558342247722,3.0139827259533645,1.7787225499237988e+19,5.580940595882673e+18,1.2142745940813133e+18,2.4582440689201975e+19,0.0,1.0,D_min;budget,True,3.167756502144719e-06,3.0139817265764184,3.0139827259533645,9.993769460869828e-07,floating_point_B7_reduction
