rep,metric,orientation,global_rho
15,rps_doc_frac_unique_words,-1,-0.37610596789245
15,rps_doc_frac_no_alph_words,-1,-0.10981721804327636
15,rps_doc_frac_chars_top_2gram,-1,-0.09337037561399382
15,rps_doc_frac_chars_top_3gram,1,0.046099421935043364
15,rps_lines_uppercase_letter_fraction,1,0.02623524486779608
15,rps_lines_ending_with_terminal_punctution_mark,1,0.05451146338958489
15,rps_lines_numerical_chars_fraction,1,0.0998901882013863
15,rps_doc_mean_word_length,-1,-0.1966969367462887
16,fineweb_edu,1,
16,fluency_en,1,
16,modernbert_cleanliness,1,
16,modernbert_readability,1,
16,modernbert_reasoning,1,
16,modernbert_professionalism,1,
16,dsir_books,-1,-0.29382218943600746
16,dsir_wiki,-1,-0.2950739057350096
16,dsir_math,-1,-0.290428179320069
16,qurater,1,
16,ad_en,1,
16,rps_doc_word_count,1,0.376849267012902
16,rps_doc_num_sentences,1,0.2716354030184495
16,rps_doc_unigram_entropy,1,0.3447319532861689
16,rps_doc_frac_unique_words,-1,-0.37605867727028464
16,rps_doc_frac_no_alph_words,-1,-0.1110996079052981
16,rps_doc_frac_chars_top_2gram,-1,-0.09905082319301715
16,rps_doc_frac_chars_top_3gram,1,0.048290274862888914
16,rps_lines_uppercase_letter_fraction,1,0.02581846517237074
16,rps_lines_ending_with_terminal_punctution_mark,1,0.06015731268126202
16,rps_lines_numerical_chars_fraction,1,0.10060247097637895
16,rps_doc_mean_word_length,-1,-0.20612739293922433
17,fineweb_edu,1,
17,fluency_en,1,
17,modernbert_cleanliness,1,
17,modernbert_readability,1,
17,modernbert_reasoning,1,
17,modernbert_professionalism,1,
17,dsir_books,-1,-0.30578838054758434
17,dsir_wiki,-1,-0.3060966507029582
17,dsir_math,-1,-0.3026182258846845
17,qurater,1,
17,ad_en,1,
17,rps_doc_word_count,1,0.3870409783728286
17,rps_doc_num_sentences,1,0.2817004843219106
17,rps_doc_unigram_entropy,1,0.357730439536152
17,rps_doc_frac_unique_words,-1,-0.3780507716918344
17,rps_doc_frac_no_alph_words,-1,-0.11042603592862502
17,rps_doc_frac_chars_top_2gram,-1,-0.09808417789005341
17,rps_doc_frac_chars_top_3gram,1,0.03895908806478693
17,rps_lines_uppercase_letter_fraction,1,0.033268953885540124
17,rps_lines_ending_with_terminal_punctution_mark,1,0.049918157389577875
17,rps_lines_numerical_chars_fraction,1,0.11474982552543746
17,rps_doc_mean_word_length,-1,-0.1951967113592509
18,fineweb_edu,1,
18,fluency_en,1,
18,modernbert_cleanliness,1,
18,modernbert_readability,1,
18,modernbert_reasoning,1,
18,modernbert_professionalism,1,
18,dsir_books,-1,-0.29983155850385756
18,dsir_wiki,-1,-0.3003394992147969
18,dsir_math,-1,-0.2964396712002139
18,qurater,1,
18,ad_en,1,
18,rps_doc_word_count,1,0.3819132998172872
18,rps_doc_num_sentences,1,0.27755016056642445
18,rps_doc_unigram_entropy,1,0.34994342892786073
18,rps_doc_frac_unique_words,-1,-0.379229921360896
18,rps_doc_frac_no_alph_words,-1,-0.10909878982113445
18,rps_doc_frac_chars_top_2gram,-1,-0.0982665382450796
18,rps_doc_frac_chars_top_3gram,1,0.04295906512076646
18,rps_lines_uppercase_letter_fraction,1,0.0368875665067596
18,rps_lines_ending_with_terminal_punctution_mark,1,0.057830870534068254
18,rps_lines_numerical_chars_fraction,1,0.10476979735181384
18,rps_doc_mean_word_length,-1,-0.1918031782526174
19,fineweb_edu,1,
19,fluency_en,1,
19,modernbert_cleanliness,1,
19,modernbert_readability,1,
19,modernbert_reasoning,1,
19,modernbert_professionalism,1,
19,dsir_books,-1,-0.30811013021831063
19,dsir_wiki,-1,-0.30882331781013717
19,dsir_math,-1,-0.3047066694646166
19,qurater,1,
19,ad_en,1,
19,rps_doc_word_count,1,0.38791872441968545
19,rps_doc_num_sentences,1,0.283373469134178
19,rps_doc_unigram_entropy,1,0.356306700891688
19,rps_doc_frac_unique_words,-1,-0.3798282958893552
19,rps_doc_frac_no_alph_words,-1,-0.10685501256024935
19,rps_doc_frac_chars_top_2gram,-1,-0.10185546956195261
19,rps_doc_frac_chars_top_3gram,1,0.03968203815220643
19,rps_lines_uppercase_letter_fraction,1,0.03596172305341822
19,rps_lines_ending_with_terminal_punctution_mark,1,0.049106770154422816
19,rps_lines_numerical_chars_fraction,1,0.08993622973600429
19,rps_doc_mean_word_length,-1,-0.19109759760679565
20,fineweb_edu,1,
20,fluency_en,1,
20,modernbert_cleanliness,1,
20,modernbert_readability,1,
20,modernbert_reasoning,1,
20,modernbert_professionalism,1,
20,dsir_books,-1,-0.2990642679733914
20,dsir_wiki,-1,-0.29983630408744544
20,dsir_math,-1,-0.2952476765276895
20,qurater,1,
20,ad_en,1,
20,rps_doc_word_count,1,0.3806791918528946
20,rps_doc_num_sentences,1,0.27710025122477666
20,rps_doc_unigram_entropy,1,0.35224008929047546
20,rps_doc_frac_unique_words,-1,-0.37404894342750705
20,rps_doc_frac_no_alph_words,-1,-0.10495640387152745
20,rps_doc_frac_chars_top_2gram,-1,-0.09950867722254904
20,rps_doc_frac_chars_top_3gram,1,0.0362058109832741
20,rps_lines_uppercase_letter_fraction,1,0.0273313312979137
20,rps_lines_ending_with_terminal_punctution_mark,1,0.058052690941136784
20,rps_lines_numerical_chars_fraction,1,0.10301981443511045
20,rps_doc_mean_word_length,-1,-0.19603533201284296
21,fineweb_edu,1,
21,fluency_en,1,
21,modernbert_cleanliness,1,
21,modernbert_readability,1,
21,modernbert_reasoning,1,
21,modernbert_professionalism,1,
21,dsir_books,-1,-0.2892395858461418
21,dsir_wiki,-1,-0.2898077645947786
21,dsir_math,-1,-0.2861576979730515
