rep,domain,Q_median,rank,rank_primary_holdout
56,arxiv,2.712768617790758,2,2
56,book,2.9879670704504906,1,1
56,c4,-0.29590092032712717,5,5
56,commoncrawl,0.42585338816519613,3,3
56,github,-0.5068606203647346,7,7
56,stackexchange,0.26201177345066695,4,4
56,wikipedia,-0.30821765824042896,6,6
57,arxiv,2.712768617790758,2,2
57,book,2.9879670704504906,1,1
57,c4,-0.29590092032712717,5,5
57,commoncrawl,0.42585338816519613,3,3
57,github,-0.5068606203647346,7,7
57,stackexchange,0.26201177345066695,4,4
57,wikipedia,-0.30821765824042896,6,6
58,arxiv,2.712768617790758,2,2
58,book,2.9879670704504906,1,1
58,c4,-0.29590092032712717,5,5
58,commoncrawl,0.42585338816519613,3,3
58,github,-0.5068606203647346,7,7
58,stackexchange,0.26201177345066695,4,4
58,wikipedia,-0.30821765824042896,6,6
59,arxiv,2.712768617790758,2,2
59,book,2.9879670704504906,1,1
59,c4,-0.29590092032712717,5,5
59,commoncrawl,0.42585338816519613,3,3
59,github,-0.5068606203647346,7,7
59,stackexchange,0.26201177345066695,4,4
59,wikipedia,-0.30821765824042896,6,6
60,arxiv,2.712768617790758,2,2
60,book,2.9879670704504906,1,1
60,c4,-0.29590092032712717,5,5
60,commoncrawl,0.42585338816519613,3,3
60,github,-0.5068606203647346,7,7
60,stackexchange,0.26201177345066695,4,4
60,wikipedia,-0.30821765824042896,6,6
61,arxiv,2.712768617790758,2,2
61,book,2.9879670704504906,1,1
61,c4,-0.29590092032712717,5,5
61,commoncrawl,0.42585338816519613,3,3
61,github,-0.5068606203647346,7,7
61,stackexchange,0.26201177345066695,4,4
61,wikipedia,-0.30821765824042896,6,6
62,arxiv,2.712768617790758,2,2
62,book,2.9879670704504906,1,1
62,c4,-0.29590092032712717,5,5
62,commoncrawl,0.42585338816519613,3,3
62,github,-0.5068606203647346,7,7
62,stackexchange,0.26201177345066695,4,4
62,wikipedia,-0.30821765824042896,6,6
63,arxiv,2.712768617790758,2,2
63,book,2.9879670704504906,1,1
63,c4,-0.29590092032712717,5,5
63,commoncrawl,0.42585338816519613,3,3
63,github,-0.5068606203647346,7,7
63,stackexchange,0.26201177345066695,4,4
63,wikipedia,-0.30821765824042896,6,6
64,arxiv,2.712768617790758,2,2
64,book,2.9879670704504906,1,1
64,c4,-0.29590092032712717,5,5
64,commoncrawl,0.42585338816519613,3,3
64,github,-0.5068606203647346,7,7
64,stackexchange,0.26201177345066695,4,4
64,wikipedia,-0.30821765824042896,6,6
65,arxiv,2.712768617790758,2,2
65,book,2.9879670704504906,1,1
65,c4,-0.29590092032712717,5,5
65,commoncrawl,0.42585338816519613,3,3
65,github,-0.5068606203647346,7,7
65,stackexchange,0.26201177345066695,4,4
65,wikipedia,-0.30821765824042896,6,6
66,arxiv,2.712768617790758,2,2
66,book,2.9879670704504906,1,1
66,c4,-0.29590092032712717,5,5
66,commoncrawl,0.42585338816519613,3,3
66,github,-0.5068606203647346,7,7
66,stackexchange,0.26201177345066695,4,4
66,wikipedia,-0.30821765824042896,6,6
67,arxiv,2.712768617790758,2,2
67,book,2.9879670704504906,1,1
67,c4,-0.29590092032712717,5,5
67,commoncrawl,0.42585338816519613,3,3
67,github,-0.5068606203647346,7,7
67,stackexchange,0.26201177345066695,4,4
67,wikipedia,-0.30821765824042896,6,6
68,arxiv,2.712768617790758,2,2
68,book,2.9879670704504906,1,1
68,c4,-0.29590092032712717,5,5
68,commoncrawl,0.42585338816519613,3,3
68,github,-0.5068606203647346,7,7
68,stackexchange,0.26201177345066695,4,4
68,wikipedia,-0.30821765824042896,6,6
69,arxiv,2.712768617790758,2,2
69,book,2.9879670704504906,1,1
69,c4,-0.29590092032712717,5,5
69,commoncrawl,0.42585338816519613,3,3
69,github,-0.5068606203647346,7,7
69,stackexchange,0.26201177345066695,4,4
69,wikipedia,-0.30821765824042896,6,6
70,arxiv,2.712768617790758,2,2
70,book,2.9879670704504906,1,1
70,c4,-0.29590092032712717,5,5
70,commoncrawl,0.42585338816519613,3,3
70,github,-0.5068606203647346,7,7
70,stackexchange,0.26201177345066695,4,4
70,wikipedia,-0.30821765824042896,6,6
71,arxiv,2.712768617790758,2,2
71,book,2.9879670704504906,1,1
71,c4,-0.29590092032712717,5,5
71,commoncrawl,0.42585338816519613,3,3
71,github,-0.5068606203647346,7,7
71,stackexchange,0.26201177345066695,4,4
71,wikipedia,-0.30821765824042896,6,6
72,arxiv,2.712768617790758,2,2
72,book,2.9879670704504906,1,1
72,c4,-0.29590092032712717,5,5
