type,resource_gate,horizon_months,compute_scenario,model,eta,retention,resource_multiplier,conditional_p05,conditional_p95
non_pretrained,primary,12,half,frontier_trend,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,half,frontier_trend,0.75,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,half,frontier_trend,0.75,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,half,frontier_trend,0.75,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,half,frontier_trend,0.75,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,half,frontier_trend,0.75,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,half,frontier_trend,0.75,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,half,quantile_resource,0.25,0.0,0.5,38.875997722893516,42.6638235453954
non_pretrained,primary,12,half,quantile_resource,0.25,0.0,1.0,40.00910611879547,43.80015884646684
non_pretrained,primary,12,half,quantile_resource,0.25,0.0,1.5,41.15300747334305,44.94303605948666
non_pretrained,primary,12,half,quantile_resource,0.25,0.5,0.5,46.74896610757531,52.52947869351042
non_pretrained,primary,12,half,quantile_resource,0.25,0.5,1.0,47.92801213315436,53.671947385586066
non_pretrained,primary,12,half,quantile_resource,0.25,0.5,1.5,49.11470374005058,54.84994752134917
non_pretrained,primary,12,half,quantile_resource,0.25,1.0,0.5,54.51419555354472,62.646198194929035
non_pretrained,primary,12,half,quantile_resource,0.25,1.0,1.0,55.649443205982394,63.71260121486572
non_pretrained,primary,12,half,quantile_resource,0.25,1.0,1.5,56.77881814738651,64.76460862309905
non_pretrained,primary,12,half,quantile_resource,0.5,0.0,0.5,40.00910611879547,43.80015884646684
non_pretrained,primary,12,half,quantile_resource,0.5,0.0,1.0,42.306549583096164,46.11319115687555
non_pretrained,primary,12,half,quantile_resource,0.5,0.0,1.5,44.637744845087596,48.55230329389977
non_pretrained,primary,12,half,quantile_resource,0.5,0.5,0.5,47.92801213315436,53.671947385586066
non_pretrained,primary,12,half,quantile_resource,0.5,0.5,1.0,50.302393652096455,56.0067809920415
non_pretrained,primary,12,half,quantile_resource,0.5,0.5,1.5,52.675410349408494,58.20514590231589
non_pretrained,primary,12,half,quantile_resource,0.5,1.0,0.5,55.649443205982394,63.71260121486572
non_pretrained,primary,12,half,quantile_resource,0.5,1.0,1.0,57.849803449402174,65.8024869009942
non_pretrained,primary,12,half,quantile_resource,0.5,1.0,1.5,59.930745484429345,67.78651670861854
non_pretrained,primary,12,half,quantile_resource,0.75,0.0,0.5,41.15300747334305,44.94303605948666
non_pretrained,primary,12,half,quantile_resource,0.75,0.0,1.0,44.637744845087596,48.55230329389977
non_pretrained,primary,12,half,quantile_resource,0.75,0.0,1.5,47.97384373772949,52.022199456643314
non_pretrained,primary,12,half,quantile_resource,0.75,0.5,0.5,49.11470374005058,54.84994752134917
non_pretrained,primary,12,half,quantile_resource,0.75,0.5,1.0,52.675410349408494,58.20514590231589
non_pretrained,primary,12,half,quantile_resource,0.75,0.5,1.5,56.025439168372536,61.49773349198034
non_pretrained,primary,12,half,quantile_resource,0.75,1.0,0.5,56.77881814738651,64.76460862309905
non_pretrained,primary,12,half,quantile_resource,0.75,1.0,1.0,59.930745484429345,67.78651670861852
non_pretrained,primary,12,half,quantile_resource,0.75,1.0,1.5,62.99973238948045,70.76572727262715
non_pretrained,primary,12,half,mean_resource,0.25,0.0,0.5,38.84254671080364,42.643239549244235
non_pretrained,primary,12,half,mean_resource,0.25,0.0,1.0,39.94153650873671,43.7358420149774
non_pretrained,primary,12,half,mean_resource,0.25,0.0,1.5,41.05075008721863,44.83455641053282
non_pretrained,primary,12,half,mean_resource,0.25,0.5,0.5,44.33221547332005,53.33505540107449
non_pretrained,primary,12,half,mean_resource,0.25,0.5,1.0,45.4431998033665,54.469930798852474
non_pretrained,primary,12,half,mean_resource,0.25,0.5,1.5,46.558738996568536,55.600181667717386
non_pretrained,primary,12,half,mean_resource,0.25,1.0,0.5,50.40100321523804,64.05081587299624
non_pretrained,primary,12,half,mean_resource,0.25,1.0,1.0,51.419170356470566,65.13313164231093
non_pretrained,primary,12,half,mean_resource,0.25,1.0,1.5,52.43616258393318,66.20005751834266
non_pretrained,primary,12,half,mean_resource,0.5,0.0,0.5,39.94153650873671,43.7358420149774
non_pretrained,primary,12,half,mean_resource,0.5,0.0,1.0,42.16913867810951,45.94102479978867
non_pretrained,primary,12,half,mean_resource,0.5,0.0,1.5,44.42906465236153,48.29087430480688
non_pretrained,primary,12,half,mean_resource,0.5,0.5,0.5,45.4431998033665,54.469930798852474
non_pretrained,primary,12,half,mean_resource,0.5,0.5,1.0,47.678505093782015,56.72466520232542
non_pretrained,primary,12,half,mean_resource,0.5,0.5,1.5,49.92465140850046,59.01360964695768
non_pretrained,primary,12,half,mean_resource,0.5,1.0,0.5,51.419170356470566,65.13313164231093
non_pretrained,primary,12,half,mean_resource,0.5,1.0,1.0,53.451139791688995,67.25075087688673
non_pretrained,primary,12,half,mean_resource,0.5,1.0,1.5,55.47172472544982,69.30037692657585
non_pretrained,primary,12,half,mean_resource,0.75,0.0,0.5,41.05075008721863,44.83455641053282
non_pretrained,primary,12,half,mean_resource,0.75,0.0,1.0,44.42906465236153,48.29087430480688
non_pretrained,primary,12,half,mean_resource,0.75,0.0,1.5,47.795203281683214,51.72546411587746
non_pretrained,primary,12,half,mean_resource,0.75,0.5,0.5,46.558738996568536,55.600181667717386
non_pretrained,primary,12,half,mean_resource,0.75,0.5,1.0,49.92465140850046,59.01360964695768
non_pretrained,primary,12,half,mean_resource,0.75,0.5,1.5,53.29158996353261,62.41631552867247
non_pretrained,primary,12,half,mean_resource,0.75,1.0,0.5,52.43616258393318,66.20005751834266
non_pretrained,primary,12,half,mean_resource,0.75,1.0,1.0,55.47172472544982,69.30037692657585
non_pretrained,primary,12,half,mean_resource,0.75,1.0,1.5,58.467013189073874,72.23558541552815
non_pretrained,primary,12,quarter,constant,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.25,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.5,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.5,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.5,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,0.5,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,1.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,1.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,constant,0.75,1.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.25,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.25,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.25,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.25,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.5,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.5,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.5,1.0,1.0,52.93428484378985,64.61224187670341
