target,domain_i,domain_j,gamma_full,fold_gamma_json,fold_min,fold_max,same_sign_fold_count,fold_count,alpha
dm_mathematics,github,pile_cc,1.1824609666180133,"[1.5121684263881228,-1.086025394141846,1.2145504254989998,1.7012663176350817,2.0242606940807812]",-1.086025394141846,2.0242606940807812,4,5,0.1
github,freelaw,arxiv,0.6804553208238618,"[-0.7870133618368996,1.4278113535373784,1.2229877603247732,1.475832428051555,-0.24813573653479795]",-0.7870133618368996,1.475832428051555,3,5,0.01
github,freelaw,pubmed_central,-0.9292299866701239,"[0.40402425054578445,-1.8399904890869498,0.16432053009025296,-1.5567962559717705,-1.2165987069500557]",-1.8399904890869498,0.40402425054578445,3,5,0.01
github,freelaw,github,-7.793494409717859,"[-7.98104611453737,-7.037031574891437,-8.029530888208567,-6.7466804891245875,-9.280841813114456]",-9.280841813114456,-6.7466804891245875,5,5,0.01
github,freelaw,pile_cc,-1.003631556838279,"[-3.5998793142762455,0.43497515377635587,-0.24757625061289318,-0.7879459691359284,-1.4093853546658894]",-3.5998793142762455,0.43497515377635587,4,5,0.01
github,arxiv,pubmed_central,-3.4902144131610644,"[-3.684060157282948,-3.6991799951078437,-3.252341681650409,-2.3448645606155876,-4.409461540037546]",-4.409461540037546,-2.3448645606155876,5,5,0.01
github,arxiv,github,-11.593706644205769,"[-11.207595841024203,-12.131141951162721,-10.893572317054154,-10.8614850249388,-11.286515290520077]",-12.131141951162721,-10.8614850249388,5,5,0.01
github,arxiv,pile_cc,-1.6859434541877771,"[-1.6169022984081254,-2.1052497576406957,-1.3113213633886283,-1.3609280192557356,-1.9654000351105376]",-2.1052497576406957,-1.3113213633886283,5,5,0.01
github,pubmed_central,github,-10.322819659119386,"[-9.87616315849633,-10.272798567367813,-10.006316627230175,-10.50717617371327,-10.160767814026416]",-10.50717617371327,-9.87616315849633,5,5,0.01
github,pubmed_central,pile_cc,-3.3938379122299636,"[-2.9384046545456384,-3.0902595847046928,-4.006925405195546,-4.027310581514351,-2.786599935226929]",-4.027310581514351,-2.786599935226929,5,5,0.01
github,github,pile_cc,-6.480049742601126,"[-6.254215647608141,-6.607881335783196,-5.997511863429823,-7.641178574609362,-6.036372998383902]",-7.641178574609362,-5.997511863429823,5,5,0.01
stackexchange,freelaw,arxiv,1.103818429926975,"[0.2172941140722272,1.2343125507485757,1.418760770349744,1.7245432687274949,0.7868932735018421]",0.2172941140722272,1.7245432687274949,5,5,0.01
stackexchange,freelaw,pubmed_central,-0.8475947654006745,"[0.7593086378240816,-1.7917246050512659,-0.19065815669392122,-1.4609879851848302,-1.1762885019211735]",-1.7917246050512659,0.7593086378240816,4,5,0.01
stackexchange,freelaw,github,-3.2258156061298524,"[-3.2593121376937284,-3.161063443173904,-3.3675014621314707,-2.697765469714269,-3.5826466221963726]",-3.5826466221963726,-2.697765469714269,5,5,0.01
stackexchange,freelaw,pile_cc,-1.3011666030135791,"[-3.417486692596076,-0.5612951002312269,-0.6685746156705376,-1.0819229156591008,-1.3187035973802672]",-3.417486692596076,-0.5612951002312269,5,5,0.01
stackexchange,arxiv,pubmed_central,-1.5086723788400773,"[-1.5244615554607515,-1.7542545672648213,-1.6938595339826057,-0.5883100690077528,-1.9476304164761138]",-1.9476304164761138,-0.5883100690077528,5,5,0.01
stackexchange,arxiv,github,-5.228853859418005,"[-5.658832219129405,-5.206088992846321,-4.704600004914401,-4.880657959574779,-4.961531905962621]",-5.658832219129405,-4.704600004914401,5,5,0.01
stackexchange,arxiv,pile_cc,-2.1107985926115154,"[-2.4009809777617046,-2.813263613819073,-1.2738104134849764,-1.9009545247015196,-1.943028826036874]",-2.813263613819073,-1.2738104134849764,5,5,0.01
stackexchange,pubmed_central,github,-4.965878065802323,"[-4.879543227124795,-4.789117488543277,-4.894336322319276,-4.863184215731598,-4.955475792984553]",-4.955475792984553,-4.789117488543277,5,5,0.01
stackexchange,pubmed_central,pile_cc,-3.5068669103879513,"[-3.5959001346216892,-3.3172889548698916,-3.55765285432287,-3.363330991905363,-3.3804614089052767]",-3.5959001346216892,-3.3172889548698916,5,5,0.01
stackexchange,github,pile_cc,-2.4380425989793557,"[-2.5257628941293797,-2.7820388486298038,-2.034138150252381,-2.652427455571653,-2.208781422130769]",-2.7820388486298038,-2.034138150252381,5,5,0.01
gutenberg_pg_19,freelaw,arxiv,-1.2445565539919081,"[-0.6543902626190687,-1.3233667319145692,-1.320605975496334,-1.146292631877908,-1.5346550039930613]",-1.5346550039930613,-0.6543902626190687,5,5,0.01
gutenberg_pg_19,freelaw,pubmed_central,-1.4122074211842506,"[-1.3757516924772704,-1.324787031481567,-1.429603049328518,-1.2529730867924942,-1.4809397422270716]",-1.4809397422270716,-1.2529730867924942,5,5,0.01
gutenberg_pg_19,freelaw,github,-0.6157465624617582,"[-0.7904923952411622,-0.877421609616995,-0.6587430923651633,-0.21286966619919054,-0.5063361525663259]",-0.877421609616995,-0.21286966619919054,5,5,0.01
gutenberg_pg_19,freelaw,pile_cc,-0.8631063059204377,"[-1.36009508916336,-0.7870423625117424,-0.9002386528534373,-0.4914471705667358,-0.8011605465267034]",-1.36009508916336,-0.4914471705667358,5,5,0.01
gutenberg_pg_19,arxiv,pubmed_central,-0.06280184152776529,"[-0.29894442384620806,0.013572625947019674,-0.10402714875824995,0.03531228222140516,-0.08538925611928455]",-0.29894442384620806,0.03531228222140516,3,5,0.01
gutenberg_pg_19,arxiv,github,-0.921751914671541,"[-1.5504810371286855,-1.3793024069867992,-0.26819718967263334,-0.835103242990977,-0.34596297747123456]",-1.5504810371286855,-0.26819718967263334,5,5,0.01
gutenberg_pg_19,arxiv,pile_cc,-1.8029670863652405,"[-1.9123175117945084,-1.6889606890434923,-1.7430610231965067,-1.8811907534056995,-1.5884127469053606]",-1.9123175117945084,-1.5884127469053606,5,5,0.01
gutenberg_pg_19,pubmed_central,github,-0.3841960775998947,"[-0.011247181354491879,-0.37763533440836755,-0.8678700469472005,-0.24232851429230404,-0.30272559697804224]",-0.8678700469472005,-0.011247181354491879,5,5,0.01
gutenberg_pg_19,pubmed_central,pile_cc,-1.8731278801855458,"[-1.3498356760343688,-1.5399610085952014,-2.1470227654184786,-2.3319843641598235,-2.0129084577181326]",-2.3319843641598235,-1.3498356760343688,5,5,0.01
gutenberg_pg_19,github,pile_cc,-1.0241962043812955,"[-1.225593184976399,-1.1443079267800336,-0.8878966081943088,-0.9959264366549403,-0.8441587828560753]",-1.225593184976399,-0.8441587828560753,5,5,0.01
pile_cc,freelaw,arxiv,-0.3587094787374053,"[-0.2026579926944132,-0.3876056952694197,-0.4723412382123895,-0.14509725412147306,-0.4832512852900052]",-0.4832512852900052,-0.14509725412147306,5,5,0.01
pile_cc,freelaw,pubmed_central,-1.1071564088422943,"[-1.1191936435924386,-1.0484666972584447,-1.0686986425246632,-1.182980303947835,-1.0443920734851952]",-1.182980303947835,-1.0443920734851952,5,5,0.01
pile_cc,freelaw,github,-0.7055942011092736,"[-0.5901371165169707,-0.8766450293888315,-0.7124290523914514,-0.5352931366157984,-0.741755645111011]",-0.8766450293888315,-0.5352931366157984,5,5,0.01
pile_cc,freelaw,pile_cc,-2.1002436015130996,"[-2.4280940784446483,-1.9858837752386902,-2.1512342044530968,-1.9449601408746011,-1.8804433676828505]",-2.4280940784446483,-1.8804433676828505,5,5,0.01
pile_cc,arxiv,pubmed_central,-0.08093102965519174,"[-0.020542990508695902,-0.08869610830073942,-0.45807266516555173,0.061955471064031854,0.03953782354245409]",-0.45807266516555173,0.061955471064031854,3,5,0.01
pile_cc,arxiv,github,-0.7523128851147163,"[-0.8266290772792056,-1.0549437052192072,-0.38703254838335455,-0.7079175892472559,-0.6327851216071974]",-1.0549437052192072,-0.38703254838335455,5,5,0.01
pile_cc,arxiv,pile_cc,-2.25259596519762,"[-2.332002898927243,-2.1987292368037634,-2.2631620352218995,-2.0897201259828866,-2.1596412838471672]",-2.332002898927243,-2.0897201259828866,5,5,0.01
pile_cc,pubmed_central,github,-1.031809336946277,"[-0.9468073825603271,-1.088064335945755,-1.2666896489589035,-0.6871461812238614,-0.9799753202212358]",-1.2666896489589035,-0.6871461812238614,5,5,0.01
pile_cc,pubmed_central,pile_cc,-2.3482387622910714,"[-2.032936432870103,-2.240124057321973,-2.4842891843542203,-2.612483594976799,-2.27699393572624]",-2.612483594976799,-2.032936432870103,5,5,0.01
pile_cc,github,pile_cc,-1.8217683240245013,"[-1.827218347816658,-1.9823111277847123,-1.6659954499832523,-1.7610271168201186,-1.793678320168601]",-1.9823111277847123,-1.6659954499832523,5,5,0.01
ubuntu_irc,freelaw,arxiv,-1.1671278431992131,"[-0.7419877186446355,-0.9641201360783824,-1.861255489530114,-0.1471796845774302,-2.054989714242675]",-2.054989714242675,-0.1471796845774302,5,5,0.01
ubuntu_irc,freelaw,pubmed_central,-2.5062293675084395,"[-2.360440209352404,-2.9132451889544835,-1.880697791389574,-3.1751483237400078,-2.1412756314945023]",-3.1751483237400078,-1.880697791389574,5,5,0.01
ubuntu_irc,freelaw,github,-0.783409712697981,"[-0.9487225836428286,-0.9693192306897871,-0.5495402623370702,-0.6820710575429906,-0.1727660678214365]",-0.9693192306897871,-0.1727660678214365,5,5,0.01
ubuntu_irc,freelaw,pile_cc,-1.7195813241080076,"[-2.0733712432392175,-0.6633003398893969,-1.7146675721192257,-2.152581055824821,-1.7715231583844382]",-2.152581055824821,-0.6633003398893969,5,5,0.01
