scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
mixture_lambda_0,0.5,1.0,0.0,4.8696752516586314e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.6573312366803403,29.86417023627709,0.9433218962823675,2.4876144731219223,4.8696752516586314e+20
mixture_lambda_0,0.5,1.0,0.0,5.0118723362727146e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.674704694053376,30.48809539503413,0.9433218962823675,2.4837397642212977,5.0118723362727146e+20
mixture_lambda_0,0.5,1.0,0.0,5.15822165072304e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.692290653173294,31.124035573673563,0.9433218962823675,2.4798872562586096,5.15822165072304e+20
mixture_lambda_0,0.5,1.0,0.0,5.308844442309901e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.7100919669915695,31.77219986500009,0.9433218962823675,2.476056786318548,5.308844442309901e+20
mixture_lambda_0,0.5,1.0,0.0,5.463865498818551e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.728111527968188,32.43280060277242,0.9433218962823675,2.4722481928475557,5.4638654988185515e+20
mixture_lambda_0,0.5,1.0,0.0,5.6234132519034906e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.746352268610815,33.10605340759202,0.9433218962823675,2.4684613156431614,5.6234132519034906e+20
mixture_lambda_0,0.5,1.0,0.0,5.787619883491197e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.7648171620210769,33.792177233473886,0.9433218962823675,2.46469599584339,5.787619883491196e+20
mixture_lambda_0,0.5,1.0,0.0,5.956621435290085e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.7835092224481255,34.49139441511449,0.9433218962823675,2.460952075916247,5.956621435290086e+20
mixture_lambda_0,0.5,1.0,0.0,6.130557921498227e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.8024315058495568,35.20393071586899,0.9433218962823675,2.45722939964927,6.130557921498227e+20
mixture_lambda_0,0.5,1.0,0.0,6.309573444801943e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.8215871104597452,35.93001537644976,0.9433218962823675,2.4535278121391606,6.309573444801943e+20
mixture_lambda_0,0.5,1.0,0.0,6.493816315762113e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.8409791773658153,36.66988116436183,0.9433218962823675,2.4498471597814695,6.493816315762115e+20
mixture_lambda_0,0.5,1.0,0.0,6.683439175686135e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.860610891091196,37.423764424085526,0.9433218962823675,2.446187290260374,6.683439175686135e+20
mixture_lambda_0,0.5,1.0,0.0,6.878599123088053e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.8804854801869897,38.19190512802215,0.9433218962823675,2.4425480525385024,6.878599123088055e+20
mixture_lambda_0,0.5,1.0,0.0,7.079457843841402e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.9006062178312055,38.974546928216114,0.9433218962823675,2.4389292968468457,7.079457843841402e+20
mixture_lambda_0,0.5,1.0,0.0,7.28618174513229e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.920976422435959,39.77193720886613,0.9433218962823675,2.4353308746747264,7.28618174513229e+20
mixture_lambda_0,0.5,1.0,0.0,7.498942093324558e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.9415994582628158,40.584327139643364,0.9433218962823675,2.431752638759834,7.498942093324559e+20
mixture_lambda_0,0.5,1.0,0.0,7.717915155850111e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.962478736046299,41.41197172982639,0.9433218962823675,2.4281944430783327,7.71791515585011e+20
mixture_lambda_0,0.5,1.0,0.0,7.943282347242789e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.983617713625739,42.25512988327123,0.9433218962823675,2.424656142835032,7.943282347242789e+20
mixture_lambda_0,0.5,1.0,0.0,8.175230379436527e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.005019896585571,43.114064454230146,0.9433218962823675,2.4211375944536213,8.175230379436527e+20
mixture_lambda_0,0.5,1.0,0.0,8.413951416451965e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.0266888389041577,43.98904230403346,0.9433218962823675,2.417638655566976,8.413951416451965e+20
mixture_lambda_0,0.5,1.0,0.0,8.659643233600653e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.048628143611352,44.88033435865317,0.9433218962823675,2.4141591850075135,8.659643233600652e+20
mixture_lambda_0,0.5,1.0,0.0,8.91250938133744e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.0708414634548022,45.78821566715934,0.9433218962823675,2.410699042797629,8.912509381337439e+20
mixture_lambda_0,0.5,1.0,0.0,9.172759353897766e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.0933325015752113,46.712965461088714,0.9433218962823675,2.407258090140184,9.172759353897767e+20
mixture_lambda_0,0.5,1.0,0.0,9.440608762859264e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.1161050121906455,47.65486721474056,0.9433218962823675,2.403836189409059,9.440608762859264e+20
mixture_lambda_0,0.5,1.0,0.0,9.716279515771078e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.139162801289997,48.61420870641471,0.9433218962823675,2.4004332041397745,9.716279515771078e+20
mixture_lambda_0,0.5,1.0,0.0,1e+21,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,2.1625097273358036,49.591282080612416,0.9433218962823675,2.3970489990201598,1e+21
mixture_lambda_2,0.5,1.0,2.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,87,22,477,0.08726838337279479,10.0,0.5995154272811548,3.0418682732322098,1e+19
mixture_lambda_2,0.5,1.0,2.0,1.0292005271944266e+19,8192,power,conditional_v8_fixed_policy_feasible,87,23,477,0.0910912425048678,10.0,0.5995154272811548,3.030341978933145,1.0292005271944266e+19
mixture_lambda_2,0.5,1.0,2.0,1.0592537251772854e+19,8192,power,conditional_v8_fixed_policy_feasible,87,26,477,0.09502573113898737,10.0,0.5995154272811548,3.0191235838316564,1.0592537251772854e+19
mixture_lambda_2,0.5,1.0,2.0,1.0901844923851313e+19,8192,power,conditional_v8_fixed_policy_feasible,87,26,477,0.09907510891546487,10.000000000000002,0.5995154272811548,3.0081965046688,1.0901844923851313e+19
mixture_lambda_2,0.5,1.0,2.0,1.1220184543019653e+19,8192,power,conditional_v8_fixed_policy_feasible,87,27,477,0.10324273065782374,10.000000000000002,0.5995154272811548,2.997545462756495,1.1220184543019653e+19
mixture_lambda_2,0.5,1.0,2.0,1.1547819846894582e+19,8192,power,conditional_v8_fixed_policy_feasible,87,28,477,0.10753204915220647,10.0,0.5995154272811548,2.987156353036079,1.1547819846894582e+19
mixture_lambda_2,0.5,1.0,2.0,1.1885022274370165e+19,8192,power,conditional_v8_fixed_policy_feasible,87,30,477,0.11194661800792996,10.0,0.5995154272811548,2.9770161289777133,1.1885022274370165e+19
mixture_lambda_2,0.5,1.0,2.0,1.2232071190499275e+19,8192,power,conditional_v8_fixed_policy_feasible,87,30,477,0.11649009460157664,10.000000000000002,0.5995154272811548,2.9671127010916067,1.2232071190499275e+19
mixture_lambda_2,0.5,1.0,2.0,1.2589254117941713e+19,8192,power,conditional_v8_fixed_policy_feasible,87,34,477,0.12116624310705476,10.0,0.5995154272811548,2.957434847177732,1.2589254117941715e+19
mixture_lambda_2,0.5,1.0,2.0,1.2956866975170216e+19,8192,power,conditional_v8_fixed_policy_feasible,87,35,172,0.0775581696221872,10.0,0.6713607648391644,2.9451721107021633,1.2956866975170216e+19
mixture_lambda_2,0.5,1.0,2.0,1.3335214321633241e+19,8192,power,conditional_v8_fixed_policy_feasible,87,36,172,0.08251139734609567,10.0,0.6713607648391644,2.928717942648648,1.3335214321633241e+19
mixture_lambda_2,0.5,1.0,2.0,1.3724609610075597e+19,8192,power,conditional_v8_fixed_policy_feasible,87,39,172,0.08760926193085629,10.0,0.6713607648391644,2.9130892721208785,1.3724609610075595e+19
mixture_lambda_2,0.5,1.0,2.0,1.4125375446227497e+19,8192,power,conditional_v8_fixed_policy_feasible,87,40,172,0.09285598684905773,10.0,0.6713607648391644,2.8982076533568493,1.4125375446227495e+19
mixture_lambda_2,0.5,1.0,2.0,1.4537843856076667e+19,8192,power,conditional_v8_fixed_policy_feasible,87,42,172,0.09825591890091638,10.0,0.6713607648391644,2.8840050513501563,1.4537843856076665e+19
