scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p60,0.6,1.0,1.0,1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,73,35,172,0.10531065456626967,10.0,0.6713607648391644,3.066729852428156,1e+19
Q0_0p60,0.6,1.0,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,73,22,475,0.1298752699095744,10.000000000000002,0.601834334386099,3.1304141617331314,1e+19
Q0_0p60,0.6,1.0,1.0,1e+19,8192,logarithmic,conditional_v8_fixed_policy_feasible,73,40,172,0.10549962108302015,10.0,0.6713607648391644,3.0662627779432783,1e+19
Q0_0p60,0.6,1.0,1.0,1e+19,131072,exponential,infeasible_within_v8_support,73,0,,,,,,
Q0_0p60,0.6,1.0,1.0,1e+19,131072,power,infeasible_within_v8_support,73,0,,,,,,
Q0_0p60,0.6,1.0,1.0,1e+19,131072,logarithmic,infeasible_within_v8_support,73,0,,,,,,
Q0_0p60,0.6,1.0,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,73,73,172,7.181647006398872,216.3234202643198,0.6713607648391644,2.0800957813852405,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,73,73,172,7.219199584634494,214.4084721763472,0.6713607648391644,2.0803803368130893,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,7.18133079120402,216.33966063871534,0.6713607648391644,2.08009338790008,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,73,73,172,6.568784829839012,198.528502213542,0.6713607648391644,2.093637835618349,9.999999999999998e+21
Q0_0p60,0.6,1.0,1.0,1e+22,8192,power,conditional_v8_fixed_policy_feasible,73,73,172,6.60018166454943,196.91786519943724,0.6713607648391644,2.093905027021068,1.0000000000000002e+22
Q0_0p60,0.6,1.0,1.0,1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,6.568520546747669,198.54214852935954,0.6713607648391644,2.0936355888156566,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,73,73,172,3.1923784283295156,97.05331505884052,0.6713607648391644,2.2174744045508916,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,131072,power,conditional_v8_fixed_policy_feasible,73,73,172,3.1996092226031925,96.67322517986545,0.6713607648391644,2.21763254279247,1e+22
Q0_0p60,0.6,1.0,1.0,1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,3.192317690026807,97.0565177890814,0.6713607648391644,2.2174730768680018,1e+22
Q0_0p60,0.6,1.0,1.0,1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3059296687917573e+22
