filter,type,horizon_months,scenario,eta,drift_retention,frontier_quantile,anchor_window_months,score
expanded_latest,non_pretrained,12,historical_growth,0.5,1.0,0.9,2,67.04857797732511
expanded_latest,non_pretrained,12,historical_growth,0.75,0.0,0.9,2,54.410908471918134
expanded_latest,non_pretrained,12,historical_growth,0.75,0.5,0.9,2,63.08852187076721
expanded_latest,non_pretrained,12,historical_growth,0.75,1.0,0.9,2,70.99490031388892
expanded_latest,non_pretrained,12,historical_growth,0.5,0.5,0.85,2,57.67090677477347
expanded_latest,non_pretrained,12,historical_growth,0.5,0.5,0.95,2,59.89797143386013
expanded_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,1,59.550065580450465
expanded_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,3,58.46128356621668
expanded_latest,non_pretrained,12,half_growth,0.25,0.0,0.9,2,42.92314982912664
expanded_latest,non_pretrained,12,half_growth,0.25,0.5,0.9,2,51.85247147351509
expanded_latest,non_pretrained,12,half_growth,0.25,1.0,0.9,2,60.66501597265212
expanded_latest,non_pretrained,12,half_growth,0.5,0.0,0.9,2,45.19956656197217
expanded_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,2,54.153146043421664
expanded_latest,non_pretrained,12,half_growth,0.5,1.0,0.9,2,62.84632067734228
expanded_latest,non_pretrained,12,half_growth,0.75,0.0,0.9,2,47.49624820826648
expanded_latest,non_pretrained,12,half_growth,0.75,0.5,0.9,2,56.43624727269764
expanded_latest,non_pretrained,12,half_growth,0.75,1.0,0.9,2,64.97649735539854
expanded_latest,non_pretrained,12,half_growth,0.5,0.5,0.85,2,53.10910345413018
expanded_latest,non_pretrained,12,half_growth,0.5,0.5,0.95,2,55.39052623791174
expanded_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,1,55.032872775545925
expanded_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,3,53.91659476844276
expanded_latest,non_pretrained,12,quarter_growth,0.25,0.0,0.9,2,41.79545958505469
expanded_latest,non_pretrained,12,quarter_growth,0.25,0.5,0.9,2,50.69856558122682
expanded_latest,non_pretrained,12,quarter_growth,0.25,1.0,0.9,2,59.55758472064165
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.0,0.9,2,42.92314982912664
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,2,51.85247147351509
expanded_latest,non_pretrained,12,quarter_growth,0.5,1.0,0.9,2,60.66501597265212
expanded_latest,non_pretrained,12,quarter_growth,0.75,0.0,0.9,2,44.058235048123144
expanded_latest,non_pretrained,12,quarter_growth,0.75,0.5,0.9,2,53.00440478051007
expanded_latest,non_pretrained,12,quarter_growth,0.75,1.0,0.9,2,61.76159222477969
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.85,2,50.80363331942636
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.95,2,53.09816627510512
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,1,52.737815789883555
expanded_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,3,51.61465587683901
expanded_latest,non_pretrained,12,no_growth,0.25,0.0,0.9,2,40.67628242552743
expanded_latest,non_pretrained,12,no_growth,0.25,0.5,0.9,2,49.54391495192314
expanded_latest,non_pretrained,12,no_growth,0.25,1.0,0.9,2,58.44033437814532
expanded_latest,non_pretrained,12,no_growth,0.5,0.0,0.9,2,40.67628242552743
expanded_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,2,49.54391495192314
expanded_latest,non_pretrained,12,no_growth,0.5,1.0,0.9,2,58.44033437814532
